68,68
68,69
67,69
66,69
66,70
65,70
64,70
64,71
63,71
62,71
62,72
61,72
60,72
60,73
59,73
58,73
57,73
56,73
55,73
54,73
54,72
53,72
52,72
51,72
50,72
49,72
48,72
47,72
46,72
45,72
44,72
44,73
43,73
43,74
18,61
18,62
19,62
20,62
20,63
21,63
21,64
22,64
23,64
24,64
25,64
25,65
26,65
26,66
27,66
27,67
28,67
28,68
29,68
29,69
30,69
31,69
31,70
32,70
33,70
34,70
35,70
35,69
36,69
37,69
38,69
39,69
40,69
38,66
39,66
62,61
61,61
60,61
59,61
58,61
57,61
56,61
55,61
54,61
53,61
52,61
51,61
50,61
49,61
48,61
47,61
46,61
46,60
45,60
44,60
44,61
43,61
42,61
42,60
41,60
40,60
16,42
16,43
16,44
17,44
17,45
18,45
18,46
18,47
19,47
19,48
20,48
21,48
22,48
23,48
23,49
24,49
25,49
26,49
27,49
27,50
28,50
28,51
29,51
30,51
30,52
31,52
32,52
33,52
33,53
34,53
34,54
35,54
35,55
36,55
36,56
60,52
59,52
59,51
58,51
57,51
57,50
56,50
55,50
54,50
54,49
53,49
53,48
52,48
51,48
51,47
50,47
49,47
49,46
48,46
47,46
46,46
45,46
44,46
43,46
43,45
42,45
41,45
41,44
40,45
40,44
39,45
38,45
37,45
37,46
36,46
36,47
61,37
60,37
59,37
58,37
57,37
56,37
55,37
54,37
54,38
53,38
52,38
52,39
51,39
50,39
50,38
49,38
49,37
48,37
48,36
47,36
46,36
45,36
44,36
44,37
43,37
42,37
41,37
41,38
40,38
39,38
38,38
38,37
37,38
37,37
36,38
