#k i j q boundname
3 25 3 -5699.18 pleasant_2-13-2
3 18 3 -4456.68 pleasant_2-9-2
4 24 45 0 pleasant_3-12-23
4 26 27 0 pleasant_3-13-14
4 25 55 -4308.04 pleasant_3-13-28
4 34 3 0 pleasant_3-17-2
4 48 53 -527.516 pleasant_3-24-27
4 6 7 -2969.93 pleasant_3-3-4
4 9 3 -4579.13 pleasant_3-5-2
