#k i j head boundname
1 1 68 297.743 east
1 2 68 297.457 east
1 3 68 297.139 east
1 4 68 296.855 east
1 5 68 296.611 east
1 6 68 296.318 east
1 7 68 295.975 east
1 8 68 295.669 east
1 9 68 295.325 east
1 10 68 294.982 east
1 11 68 294.647 east
1 12 68 294.323 east
1 13 68 293.982 east
1 14 68 293.587 east
1 15 68 293.157 east
1 16 68 292.724 east
1 17 68 292.289 east
1 18 68 291.845 east
1 19 68 291.414 east
1 20 68 290.97 east
1 21 68 290.506 east
1 22 68 290.037 east
1 23 68 289.562 east
1 24 68 289.119 east
1 25 68 288.639 east
1 26 68 288.123 east
1 27 68 287.571 east
1 28 68 286.969 east
1 29 68 286.37 east
1 30 68 286.093 east
1 31 68 286.202 east
1 32 68 286.241 east
1 33 68 286.265 east
1 34 68 286.275 east
1 35 68 286.27 east
1 36 68 286.325 east
1 37 68 286.314 east
1 38 68 286.302 east
1 39 68 286.288 east
1 40 68 286.327 east
1 41 68 286.288 east
1 42 68 286.232 east
1 43 68 286.159 east
1 44 68 286.065 east
1 45 68 285.971 east
1 46 68 285.855 east
1 47 68 285.735 east
1 48 68 285.591 east
1 49 68 285.464 east
1 50 68 285.324 east
1 51 68 285.186 east
1 52 68 285.04 east
1 53 68 284.874 east
1 54 68 284.736 east
1 55 68 284.597 east
1 56 68 284.432 east
1 57 68 284.242 east
1 58 68 284.067 east
1 59 68 283.905 east
1 60 68 283.75 east
1 61 68 283.678 east
1 62 68 283.534 east
1 63 68 283.383 east
1 1 1 314.369 west
1 2 1 314.307 west
1 3 1 314.228 west
1 4 1 314.136 west
1 5 1 314.032 west
1 6 1 313.92 west
1 7 1 313.79 west
1 8 1 313.665 west
1 9 1 313.531 west
1 10 1 313.436 west
1 11 1 313.346 west
1 12 1 313.261 west
1 13 1 313.178 west
1 14 1 313.086 west
1 15 1 312.963 west
1 16 1 312.851 west
1 17 1 312.717 west
1 18 1 312.648 west
1 64 43 291.121 south
1 64 44 290.697 south
1 64 45 290.252 south
1 64 46 289.857 south
1 64 47 289.481 south
1 64 48 289.121 south
1 64 49 288.762 south
1 64 50 288.39 south
1 64 51 288.004 south
1 64 52 287.645 south
1 64 53 287.295 south
1 64 54 286.974 south
1 64 55 286.68 south
1 64 56 286.375 south
1 64 57 286.084 south
1 64 58 285.808 south
1 64 59 285.547 south
1 64 60 285.28 south
1 64 61 285.029 south
1 64 62 284.747 south
1 64 63 284.513 south
1 64 64 284.267 south
1 64 65 284.073 south
1 1 2 314.299 north
1 1 3 314.22 north
1 1 4 314.137 north
1 1 5 314.05 north
1 1 6 313.972 north
1 1 7 313.905 north
1 1 8 313.844 north
1 1 9 313.8 north
1 1 10 313.75 north
1 1 11 313.692 north
1 1 46 305.507 north
1 1 47 305.04 north
1 1 48 304.652 north
1 1 49 304.305 north
1 1 50 303.948 north
1 1 51 303.573 north
1 1 52 303.205 north
1 1 53 302.833 north
1 1 54 302.484 north
1 1 55 302.158 north
1 1 56 301.823 north
1 1 57 301.486 north
1 1 58 301.143 north
1 1 59 300.794 north
1 1 60 300.466 north
1 1 61 300.135 north
1 1 62 299.816 north
1 1 63 299.51 north
1 1 64 299.164 north
1 1 65 298.802 north
1 1 66 298.452 north
1 1 67 298.109 north
2 1 68 297.745 east
2 2 68 297.452 east
2 3 68 297.146 east
2 4 68 296.858 east
2 5 68 296.593 east
2 6 68 296.297 east
2 7 68 295.97 east
2 8 68 295.663 east
2 9 68 295.327 east
2 10 68 295.002 east
2 11 68 294.66 east
2 12 68 294.314 east
2 13 68 293.963 east
2 14 68 293.575 east
2 15 68 293.156 east
2 16 68 292.727 east
2 17 68 292.296 east
2 18 68 291.858 east
2 19 68 291.425 east
2 20 68 290.981 east
2 21 68 290.522 east
2 22 68 290.057 east
2 23 68 289.585 east
2 24 68 289.134 east
2 25 68 288.653 east
2 26 68 288.147 east
2 27 68 287.616 east
2 28 68 287.017 east
2 29 68 286.466 east
2 30 68 286.213 east
2 31 68 286.257 east
2 32 68 286.261 east
2 33 68 286.272 east
2 34 68 286.276 east
2 35 68 286.27 east
2 36 68 286.318 east
2 37 68 286.309 east
2 38 68 286.298 east
2 39 68 286.284 east
2 40 68 286.315 east
2 41 68 286.275 east
2 42 68 286.219 east
2 43 68 286.146 east
2 44 68 286.057 east
2 45 68 285.963 east
2 46 68 285.854 east
2 47 68 285.736 east
2 48 68 285.596 east
2 49 68 285.467 east
2 50 68 285.327 east
2 51 68 285.186 east
2 52 68 285.048 east
2 53 68 284.886 east
2 54 68 284.733 east
2 55 68 284.589 east
2 56 68 284.43 east
2 57 68 284.245 east
2 58 68 284.076 east
2 59 68 283.914 east
2 60 68 283.789 east
2 61 68 283.703 east
2 62 68 283.516 east
2 63 68 283.361 east
2 64 68 283.128 east
2 64 31 295.718 south
2 64 32 295.375 south
2 64 33 295.01 south
2 64 34 294.636 south
2 64 35 294.257 south
2 64 36 293.851 south
2 64 37 293.432 south
2 64 38 293.038 south
2 64 39 292.66 south
2 64 40 292.287 south
2 64 41 291.896 south
2 64 42 291.518 south
2 64 43 291.111 south
2 64 44 290.696 south
2 64 45 290.259 south
2 64 46 289.864 south
2 64 47 289.482 south
2 64 48 289.111 south
2 64 49 288.743 south
2 64 50 288.379 south
2 64 51 288.007 south
2 64 52 287.657 south
2 64 53 287.319 south
2 64 54 286.998 south
2 64 55 286.694 south
2 64 56 286.383 south
2 64 57 286.089 south
2 64 58 285.808 south
2 64 59 285.542 south
2 64 60 285.271 south
2 64 61 285.017 south
2 64 62 284.734 south
2 64 63 284.495 south
2 64 64 284.243 south
2 64 65 284.035 south
2 64 66 283.778 south
2 64 67 283.473 south
2 1 12 313.625 north
2 1 13 313.58 north
2 1 14 313.516 north
2 1 15 313.435 north
2 1 16 313.366 north
2 1 17 313.253 north
2 1 18 313.126 north
2 1 19 312.986 north
2 1 20 312.85 north
2 1 21 312.689 north
2 1 22 312.522 north
2 1 23 312.346 north
2 1 24 312.159 north
2 1 25 311.957 north
2 1 28 311.257 north
2 1 29 311.042 north
2 1 30 310.804 north
2 1 31 310.556 north
2 1 32 310.298 north
2 1 33 310.029 north
2 1 34 309.745 north
2 1 35 309.446 north
2 1 36 309.129 north
2 1 37 308.789 north
2 1 38 308.448 north
2 1 39 308.107 north
2 1 40 307.765 north
2 1 41 307.415 north
2 1 42 307.073 north
2 1 43 306.696 north
2 1 44 306.312 north
2 1 45 305.919 north
2 1 46 305.508 north
2 1 47 305.066 north
2 1 48 304.683 north
2 1 49 304.322 north
2 1 50 303.965 north
2 1 51 303.593 north
2 1 52 303.222 north
2 1 53 302.854 north
