#k i j q boundname
3 25 3 -926.736 pleasant_2-13-2
3 18 3 -865.317 pleasant_2-9-2
4 24 45 0 pleasant_3-12-23
4 26 27 0 pleasant_3-13-14
4 25 55 -944.903 pleasant_3-13-28
4 34 3 0 pleasant_3-17-2
4 48 53 0 pleasant_3-24-27
4 6 7 -88.1347 pleasant_3-3-4
4 9 3 -321.492 pleasant_3-5-2
