#k i j head boundname
1 1 68 298.09 east
1 2 68 297.814 east
1 3 68 297.479 east
1 4 68 297.202 east
1 5 68 296.964 east
1 6 68 296.68 east
1 7 68 296.352 east
1 8 68 296.054 east
1 9 68 295.735 east
1 10 68 295.401 east
1 11 68 295.059 east
1 12 68 294.743 east
1 13 68 294.413 east
1 14 68 294.039 east
1 15 68 293.626 east
1 16 68 293.175 east
1 17 68 292.705 east
1 18 68 292.238 east
1 19 68 291.802 east
1 20 68 291.341 east
1 21 68 290.865 east
1 22 68 290.385 east
1 23 68 289.899 east
1 24 68 289.448 east
1 25 68 288.972 east
1 26 68 288.456 east
1 27 68 287.901 east
1 28 68 287.292 east
1 29 68 286.667 east
1 30 68 286.396 east
1 31 68 286.526 east
1 32 68 286.569 east
1 33 68 286.594 east
1 34 68 286.594 east
1 35 68 286.57 east
1 36 68 286.573 east
1 37 68 286.521 east
1 38 68 286.475 east
1 39 68 286.434 east
1 40 68 286.449 east
1 41 68 286.407 east
1 42 68 286.359 east
1 43 68 286.306 east
1 44 68 286.255 east
1 45 68 286.193 east
1 46 68 286.117 east
1 47 68 286.02 east
1 48 68 285.896 east
1 49 68 285.777 east
1 50 68 285.64 east
1 51 68 285.5 east
1 52 68 285.351 east
1 53 68 285.18 east
1 54 68 285.033 east
1 55 68 284.884 east
1 56 68 284.701 east
1 57 68 284.486 east
1 58 68 284.282 east
1 59 68 284.081 east
1 60 68 283.917 east
1 61 68 283.867 east
1 62 68 283.732 east
1 63 68 283.588 east
1 1 1 315.763 west
1 2 1 315.697 west
1 3 1 315.621 west
1 4 1 315.543 west
1 5 1 315.461 west
1 6 1 315.379 west
1 7 1 315.29 west
1 8 1 315.198 west
1 9 1 315.097 west
1 10 1 315.01 west
1 11 1 314.909 west
1 12 1 314.812 west
1 13 1 314.716 west
1 14 1 314.618 west
1 15 1 314.505 west
1 16 1 314.401 west
1 17 1 314.287 west
1 18 1 314.207 west
1 19 1 314.165 west
1 20 1 314.107 west
1 21 1 314.036 west
1 64 43 291.331 south
1 64 44 290.94 south
1 64 45 290.528 south
1 64 46 290.148 south
1 64 47 289.774 south
1 64 48 289.417 south
1 64 49 289.055 south
1 64 50 288.686 south
1 64 51 288.308 south
1 64 52 287.952 south
1 64 53 287.612 south
1 64 54 287.296 south
1 64 55 287.003 south
1 64 56 286.697 south
1 64 57 286.401 south
1 64 58 286.118 south
1 64 59 285.848 south
1 64 60 285.574 south
1 64 61 285.313 south
1 64 62 285.026 south
1 64 63 284.784 south
1 64 64 284.528 south
1 64 65 284.321 south
1 64 66 284.056 south
1 1 2 315.711 north
1 1 3 315.647 north
1 1 4 315.582 north
1 1 5 315.494 north
1 1 6 315.399 north
1 1 7 315.296 north
1 1 8 315.185 north
1 1 9 315.063 north
1 1 10 314.925 north
1 1 11 314.745 north
1 1 46 305.743 north
1 1 47 305.307 north
1 1 48 304.937 north
1 1 49 304.603 north
1 1 50 304.254 north
1 1 51 303.887 north
1 1 52 303.525 north
1 1 53 303.158 north
1 1 54 302.811 north
1 1 55 302.487 north
1 1 56 302.153 north
1 1 57 301.815 north
1 1 58 301.472 north
1 1 59 301.121 north
1 1 60 300.791 north
1 1 61 300.455 north
1 1 62 300.131 north
1 1 63 299.818 north
1 1 64 299.473 north
1 1 65 299.124 north
1 1 66 298.783 north
1 1 67 298.455 north
2 1 68 298.091 east
2 2 68 297.8 east
2 3 68 297.488 east
2 4 68 297.207 east
2 5 68 296.948 east
2 6 68 296.661 east
2 7 68 296.347 east
2 8 68 296.049 east
2 9 68 295.734 east
2 10 68 295.424 east
2 11 68 295.079 east
2 12 68 294.735 east
2 13 68 294.394 east
2 14 68 294.023 east
2 15 68 293.615 east
2 16 68 293.17 east
2 17 68 292.713 east
2 18 68 292.254 east
2 19 68 291.813 east
2 20 68 291.351 east
2 21 68 290.881 east
2 22 68 290.404 east
2 23 68 289.922 east
2 24 68 289.464 east
2 25 68 288.986 east
2 26 68 288.479 east
2 27 68 287.944 east
2 28 68 287.348 east
2 29 68 286.777 east
2 30 68 286.521 east
2 31 68 286.579 east
2 32 68 286.584 east
2 33 68 286.594 east
2 34 68 286.587 east
2 35 68 286.562 east
2 36 68 286.564 east
2 37 68 286.517 east
2 38 68 286.475 east
2 39 68 286.436 east
2 40 68 286.446 east
2 41 68 286.403 east
2 42 68 286.354 east
2 43 68 286.3 east
2 44 68 286.25 east
2 45 68 286.186 east
2 46 68 286.113 east
2 47 68 286.016 east
2 48 68 285.896 east
2 49 68 285.775 east
2 50 68 285.638 east
2 51 68 285.497 east
2 52 68 285.354 east
2 53 68 285.187 east
2 54 68 285.027 east
2 55 68 284.871 east
2 56 68 284.695 east
2 57 68 284.487 east
2 58 68 284.299 east
2 59 68 284.102 east
2 60 68 283.967 east
2 61 68 283.899 east
2 62 68 283.712 east
2 63 68 283.544 east
2 64 68 283.313 east
2 64 31 295.93 south
2 64 32 295.535 south
2 64 33 295.154 south
2 64 34 294.768 south
2 64 35 294.381 south
2 64 36 293.969 south
2 64 37 293.549 south
2 64 38 293.152 south
2 64 39 292.769 south
2 64 40 292.407 south
2 64 41 292.029 south
2 64 42 291.683 south
2 64 43 291.314 south
2 64 44 290.933 south
2 64 45 290.528 south
2 64 46 290.147 south
2 64 47 289.767 south
2 64 48 289.399 south
2 64 49 289.03 south
2 64 50 288.67 south
2 64 51 288.305 south
2 64 52 287.958 south
2 64 53 287.63 south
2 64 54 287.315 south
2 64 55 287.013 south
2 64 56 286.701 south
2 64 57 286.403 south
2 64 58 286.116 south
2 64 59 285.841 south
2 64 60 285.563 south
2 64 61 285.299 south
2 64 62 285.011 south
2 64 63 284.764 south
2 64 64 284.501 south
2 64 65 284.277 south
2 64 66 283.999 south
2 64 67 283.67 south
2 1 12 314.548 north
2 1 13 314.313 north
2 1 14 314.103 north
2 1 15 313.922 north
2 1 16 313.729 north
2 1 17 313.569 north
2 1 18 313.404 north
2 1 19 313.235 north
2 1 20 313.068 north
2 1 21 312.891 north
2 1 22 312.711 north
2 1 23 312.527 north
2 1 24 312.337 north
2 1 25 312.167 north
2 1 26 311.964 north
2 1 27 311.694 north
2 1 28 311.439 north
2 1 29 311.198 north
2 1 30 310.954 north
2 1 31 310.7 north
2 1 32 310.439 north
2 1 33 310.167 north
2 1 34 309.88 north
2 1 35 309.579 north
2 1 36 309.259 north
2 1 37 308.919 north
2 1 38 308.578 north
2 1 39 308.236 north
2 1 40 307.893 north
2 1 41 307.542 north
2 1 42 307.208 north
2 1 43 306.839 north
2 1 44 306.473 north
2 1 45 306.109 north
2 1 46 305.734 north
2 1 47 305.325 north
2 1 48 304.961 north
2 1 49 304.615 north
2 1 50 304.267 north
2 1 51 303.904 north
2 1 52 303.541 north
2 1 53 303.178 north
2 1 54 302.829 north
2 1 55 302.494 north
2 1 56 302.154 north
2 1 57 301.815 north
2 1 58 301.473 north
2 1 59 301.128 north
2 1 60 300.795 north
2 1 61 300.46 north
2 1 62 300.13 north
2 1 63 299.808 north
2 1 64 299.467 north
2 1 65 299.123 north
2 1 66 298.784 north
2 1 67 298.452 north
3 1 68 298.089 east
3 2 68 297.799 east
3 3 68 297.495 east
3 4 68 297.213 east
3 5 68 296.939 east
3 6 68 296.648 east
3 7 68 296.343 east
3 8 68 296.045 east
3 9 68 295.731 east
3 10 68 295.418 east
3 11 68 295.076 east
3 12 68 294.73 east
3 13 68 294.38 east
3 14 68 294.006 east
3 15 68 293.602 east
3 16 68 293.166 east
3 17 68 292.717 east
3 18 68 292.267 east
3 19 68 291.822 east
3 20 68 291.361 east
3 21 68 290.893 east
3 22 68 290.419 east
3 23 68 289.94 east
3 24 68 289.476 east
3 25 68 288.999 east
3 26 68 288.499 east
3 27 68 287.978 east
3 28 68 287.42 east
3 29 68 286.907 east
3 30 68 286.645 east
3 31 68 286.633 east
3 32 68 286.6 east
3 33 68 286.598 east
3 34 68 286.585 east
3 35 68 286.56 east
3 36 68 286.558 east
3 37 68 286.515 east
3 38 68 286.476 east
3 39 68 286.437 east
3 40 68 286.443 east
3 41 68 286.397 east
3 42 68 286.348 east
3 43 68 286.293 east
3 44 68 286.245 east
3 45 68 286.18 east
3 46 68 286.109 east
3 47 68 286.013 east
3 48 68 285.896 east
3 49 68 285.774 east
3 50 68 285.637 east
3 51 68 285.494 east
3 52 68 285.35 east
3 53 68 285.186 east
3 54 68 285.025 east
3 55 68 284.867 east
3 56 68 284.692 east
3 57 68 284.488 east
3 58 68 284.303 east
3 59 68 284.111 east
3 60 68 283.973 east
3 61 68 283.888 east
3 62 68 283.697 east
3 63 68 283.526 east
3 64 68 283.297 east
3 1 1 315.753 west
3 2 1 315.682 west
3 3 1 315.605 west
3 4 1 315.532 west
3 5 1 315.449 west
3 6 1 315.365 west
3 7 1 315.273 west
3 8 1 315.183 west
3 9 1 315.082 west
3 10 1 314.988 west
3 11 1 314.892 west
3 12 1 314.8 west
3 13 1 314.702 west
3 14 1 314.597 west
3 15 1 314.486 west
3 16 1 314.375 west
3 17 1 314.254 west
3 18 1 314.181 west
3 19 1 314.132 west
3 20 1 314.059 west
3 21 1 313.981 west
3 22 1 313.878 west
3 23 1 313.759 west
3 24 1 313.613 west
3 25 1 313.429 west
3 26 1 313.333 west
3 27 1 313.259 west
3 28 1 313.153 west
3 29 1 313.05 west
3 30 1 312.935 west
3 31 1 312.809 west
3 32 1 312.68 west
3 33 1 312.562 west
3 34 1 312.433 west
3 35 1 312.294 west
3 36 1 312.158 west
3 37 1 312.023 west
3 38 1 311.863 west
3 39 1 311.706 west
3 40 1 311.58 west
3 41 1 311.483 west
3 42 1 311.363 west
3 43 1 311.284 west
3 44 1 311.191 west
3 45 1 311.073 west
3 64 27 298.231 south
3 64 28 297.441 south
3 64 29 296.794 south
3 64 30 296.371 south
3 64 31 295.926 south
3 64 32 295.533 south
3 64 33 295.151 south
3 64 34 294.766 south
3 64 35 294.38 south
3 64 36 293.968 south
3 64 37 293.545 south
3 64 38 293.148 south
3 64 39 292.768 south
3 64 40 292.406 south
3 64 41 292.027 south
3 64 42 291.681 south
3 64 43 291.308 south
3 64 44 290.93 south
3 64 45 290.528 south
3 64 46 290.146 south
3 64 47 289.762 south
3 64 48 289.39 south
3 64 49 289.015 south
3 64 50 288.656 south
3 64 51 288.303 south
3 64 52 287.964 south
3 64 53 287.644 south
3 64 54 287.324 south
3 64 55 287.016 south
3 64 56 286.706 south
3 64 57 286.405 south
3 64 58 286.114 south
3 64 59 285.836 south
3 64 60 285.554 south
3 64 61 285.286 south
3 64 62 285.0 south
3 64 63 284.748 south
3 64 64 284.48 south
3 64 65 284.246 south
3 64 66 283.966 south
3 64 67 283.647 south
3 1 2 315.697 north
3 1 3 315.631 north
3 1 4 315.562 north
3 1 5 315.474 north
3 1 6 315.376 north
3 1 7 315.27 north
3 1 8 315.153 north
3 1 9 315.027 north
3 1 10 314.882 north
3 1 11 314.696 north
3 1 12 314.492 north
3 1 13 314.254 north
3 1 14 314.053 north
3 1 15 313.887 north
3 1 16 313.72 north
3 1 17 313.56 north
3 1 18 313.395 north
3 1 19 313.225 north
3 1 20 313.057 north
3 1 21 312.88 north
3 1 22 312.7 north
3 1 23 312.517 north
3 1 24 312.328 north
3 1 25 312.146 north
3 1 26 311.936 north
3 1 27 311.671 north
3 1 28 311.421 north
3 1 29 311.185 north
3 1 30 310.941 north
3 1 31 310.687 north
3 1 32 310.427 north
3 1 33 310.156 north
3 1 34 309.87 north
3 1 35 309.571 north
3 1 36 309.251 north
3 1 37 308.908 north
3 1 38 308.567 north
3 1 39 308.227 north
3 1 40 307.887 north
3 1 41 307.539 north
3 1 42 307.189 north
3 1 43 306.822 north
3 1 44 306.47 north
3 1 45 306.098 north
3 1 46 305.729 north
3 1 47 305.34 north
3 1 48 304.98 north
3 1 49 304.625 north
3 1 50 304.276 north
3 1 51 303.915 north
3 1 52 303.554 north
3 1 53 303.193 north
3 1 54 302.842 north
3 1 55 302.5 north
3 1 56 302.154 north
3 1 57 301.815 north
3 1 58 301.473 north
3 1 59 301.132 north
3 1 60 300.799 north
3 1 61 300.463 north
3 1 62 300.131 north
3 1 63 299.8 north
3 1 64 299.461 north
3 1 65 299.122 north
3 1 66 298.784 north
3 1 67 298.448 north
4 1 68 298.078 east
4 2 68 297.79 east
4 3 68 297.499 east
4 4 68 297.21 east
4 5 68 296.921 east
4 6 68 296.628 east
4 7 68 296.327 east
4 8 68 296.023 east
4 9 68 295.708 east
4 10 68 295.39 east
4 11 68 295.054 east
4 12 68 294.706 east
4 13 68 294.347 east
4 14 68 293.97 east
4 15 68 293.576 east
4 16 68 293.163 east
4 17 68 292.738 east
4 18 68 292.305 east
4 19 68 291.865 east
4 20 68 291.415 east
4 21 68 290.958 east
4 22 68 290.496 east
4 23 68 290.029 east
4 24 68 289.563 east
4 25 68 289.095 east
4 26 68 288.627 east
4 27 68 288.159 east
4 28 68 287.7 east
4 29 68 287.301 east
4 30 68 287.02 east
4 31 68 286.859 east
4 32 68 286.717 east
4 33 68 286.644 east
4 34 68 286.586 east
4 35 68 286.54 east
4 36 68 286.514 east
4 37 68 286.475 east
4 38 68 286.438 east
4 39 68 286.402 east
4 40 68 286.4 east
4 41 68 286.357 east
4 42 68 286.308 east
4 43 68 286.252 east
4 44 68 286.2 east
4 45 68 286.126 east
4 46 68 286.05 east
4 47 68 285.951 east
4 48 68 285.848 east
4 49 68 285.726 east
4 50 68 285.595 east
4 51 68 285.453 east
4 52 68 285.307 east
4 53 68 285.15 east
4 54 68 284.989 east
4 55 68 284.823 east
4 56 68 284.654 east
4 57 68 284.475 east
4 58 68 284.297 east
4 59 68 284.121 east
4 60 68 283.951 east
4 61 68 283.785 east
4 62 68 283.581 east
4 63 68 283.385 east
4 64 68 283.158 east
4 1 1 315.681 west
4 2 1 315.614 west
4 3 1 315.535 west
4 4 1 315.45 west
4 5 1 315.36 west
4 6 1 315.269 west
4 7 1 315.165 west
4 8 1 315.062 west
4 9 1 314.944 west
4 10 1 314.856 west
4 11 1 314.78 west
4 12 1 314.697 west
4 13 1 314.608 west
4 14 1 314.517 west
4 15 1 314.412 west
4 16 1 314.305 west
4 17 1 314.192 west
4 18 1 314.095 west
4 19 1 314.002 west
4 20 1 313.903 west
4 21 1 313.797 west
4 22 1 313.678 west
4 23 1 313.548 west
4 24 1 313.416 west
4 25 1 313.272 west
4 26 1 313.146 west
4 27 1 313.039 west
4 28 1 312.926 west
4 29 1 312.813 west
4 30 1 312.694 west
4 31 1 312.568 west
4 32 1 312.426 west
4 33 1 312.298 west
4 34 1 312.173 west
4 35 1 312.051 west
4 36 1 311.944 west
4 37 1 311.822 west
4 38 1 311.697 west
4 39 1 311.565 west
4 40 1 311.431 west
4 41 1 311.293 west
4 42 1 311.155 west
4 43 1 310.999 west
4 44 1 310.826 west
4 45 1 310.634 west
4 46 1 310.454 west
4 47 1 310.255 west
4 48 1 310.051 west
4 49 1 309.842 west
4 50 1 309.63 west
4 51 1 309.413 west
4 52 1 309.19 west
4 53 1 308.967 west
4 54 1 308.743 west
4 55 1 308.525 west
4 56 1 308.289 west
4 57 1 308.06 west
4 58 1 307.832 west
4 59 1 307.604 west
4 60 1 307.379 west
4 61 1 307.152 west
4 62 1 306.928 west
4 63 1 306.704 west
4 64 1 306.484 south
4 64 2 306.285 south
4 64 3 306.08 south
4 64 4 305.864 south
4 64 5 305.635 south
4 64 6 305.4 south
4 64 7 305.151 south
4 64 8 304.884 south
4 64 9 304.613 south
4 64 10 304.329 south
4 64 11 304.042 south
4 64 12 303.746 south
4 64 13 303.437 south
4 64 14 303.108 south
4 64 15 302.783 south
4 64 16 302.447 south
4 64 17 302.106 south
4 64 18 301.764 south
4 64 19 301.405 south
4 64 20 301.023 south
4 64 21 300.65 south
4 64 22 300.262 south
4 64 23 299.847 south
4 64 24 299.432 south
4 64 25 299.013 south
4 64 26 298.569 south
4 64 27 298.099 south
4 64 28 297.629 south
4 64 29 297.157 south
4 64 30 296.711 south
4 64 31 296.26 south
4 64 32 295.832 south
4 64 33 295.402 south
4 64 34 294.99 south
4 64 35 294.569 south
4 64 36 294.15 south
4 64 37 293.733 south
4 64 38 293.332 south
4 64 39 292.93 south
4 64 40 292.547 south
4 64 41 292.156 south
4 64 42 291.784 south
4 64 43 291.397 south
4 64 44 291.021 south
4 64 45 290.634 south
4 64 46 290.257 south
4 64 47 289.875 south
4 64 48 289.505 south
