#k i j head boundname
1 1 68 297.632 east
1 2 68 297.344 east
1 3 68 297.029 east
1 4 68 296.744 east
1 5 68 296.5 east
1 6 68 296.206 east
1 7 68 295.861 east
1 8 68 295.555 east
1 9 68 295.209 east
1 10 68 294.868 east
1 11 68 294.536 east
1 12 68 294.212 east
1 13 68 293.871 east
1 14 68 293.477 east
1 15 68 293.049 east
1 16 68 292.62 east
1 17 68 292.191 east
1 18 68 291.752 east
1 19 68 291.323 east
1 20 68 290.883 east
1 21 68 290.423 east
1 22 68 289.958 east
1 23 68 289.489 east
1 24 68 289.049 east
1 25 68 288.574 east
1 26 68 288.063 east
1 27 68 287.516 east
1 28 68 286.919 east
1 29 68 286.325 east
1 30 68 286.051 east
1 31 68 286.159 east
1 32 68 286.198 east
1 33 68 286.222 east
1 34 68 286.233 east
1 35 68 286.23 east
1 36 68 286.288 east
1 37 68 286.28 east
1 38 68 286.271 east
1 39 68 286.259 east
1 40 68 286.3 east
1 41 68 286.26 east
1 42 68 286.203 east
1 43 68 286.127 east
1 44 68 286.029 east
1 45 68 285.931 east
1 46 68 285.809 east
1 47 68 285.685 east
1 48 68 285.535 east
1 49 68 285.405 east
1 50 68 285.262 east
1 51 68 285.121 east
1 52 68 284.974 east
1 53 68 284.807 east
1 54 68 284.668 east
1 55 68 284.531 east
1 56 68 284.369 east
1 57 68 284.183 east
1 58 68 284.012 east
1 59 68 283.857 east
1 60 68 283.705 east
1 61 68 283.629 east
1 62 68 283.483 east
1 63 68 283.327 east
1 1 1 314.169 west
1 2 1 314.103 west
1 3 1 314.028 west
1 4 1 313.945 west
1 5 1 313.854 west
1 6 1 313.761 west
1 7 1 313.66 west
1 8 1 313.559 west
1 9 1 313.453 west
1 10 1 313.364 west
1 11 1 313.27 west
1 12 1 313.178 west
1 13 1 313.089 west
1 14 1 313.004 west
1 15 1 312.902 west
1 16 1 312.81 west
1 17 1 312.706 west
1 18 1 312.633 west
1 64 44 290.644 south
1 64 45 290.196 south
1 64 46 289.797 south
1 64 47 289.417 south
1 64 48 289.054 south
1 64 49 288.697 south
1 64 50 288.322 south
1 64 51 287.93 south
1 64 52 287.569 south
1 64 53 287.217 south
1 64 54 286.895 south
1 64 55 286.603 south
1 64 56 286.297 south
1 64 57 286.009 south
1 64 58 285.735 south
1 64 59 285.478 south
1 64 60 285.212 south
1 64 61 284.963 south
1 64 62 284.683 south
1 64 63 284.451 south
1 64 64 284.208 south
1 64 65 284.011 south
1 1 2 314.105 north
1 1 3 314.038 north
1 1 4 313.969 north
1 1 5 313.895 north
1 1 6 313.825 north
1 1 7 313.761 north
1 1 8 313.701 north
1 1 9 313.651 north
1 1 10 313.596 north
1 1 11 313.535 north
1 1 46 305.441 north
1 1 47 304.972 north
1 1 48 304.579 north
1 1 49 304.227 north
1 1 50 303.866 north
1 1 51 303.487 north
1 1 52 303.116 north
1 1 53 302.741 north
1 1 54 302.389 north
1 1 55 302.061 north
1 1 56 301.725 north
1 1 57 301.386 north
1 1 58 301.041 north
1 1 59 300.69 north
1 1 60 300.362 north
1 1 61 300.029 north
1 1 62 299.71 north
1 1 63 299.403 north
1 1 64 299.057 north
1 1 65 298.693 north
1 1 66 298.343 north
1 1 67 297.998 north
2 1 68 297.635 east
2 2 68 297.342 east
2 3 68 297.036 east
2 4 68 296.747 east
2 5 68 296.481 east
2 6 68 296.184 east
2 7 68 295.856 east
2 8 68 295.55 east
2 9 68 295.212 east
2 10 68 294.887 east
2 11 68 294.548 east
2 12 68 294.203 east
2 13 68 293.853 east
2 14 68 293.466 east
2 15 68 293.048 east
2 16 68 292.624 east
2 17 68 292.198 east
2 18 68 291.765 east
2 19 68 291.334 east
2 20 68 290.894 east
2 21 68 290.44 east
2 22 68 289.979 east
2 23 68 289.512 east
2 24 68 289.066 east
2 25 68 288.589 east
2 26 68 288.087 east
2 27 68 287.561 east
2 28 68 286.967 east
2 29 68 286.422 east
2 30 68 286.171 east
2 31 68 286.214 east
2 32 68 286.219 east
2 33 68 286.23 east
2 34 68 286.234 east
2 35 68 286.23 east
2 36 68 286.282 east
2 37 68 286.275 east
2 38 68 286.266 east
2 39 68 286.255 east
2 40 68 286.287 east
2 41 68 286.247 east
2 42 68 286.189 east
2 43 68 286.113 east
2 44 68 286.02 east
2 45 68 285.922 east
2 46 68 285.807 east
2 47 68 285.685 east
2 48 68 285.54 east
2 49 68 285.408 east
2 50 68 285.265 east
2 51 68 285.122 east
2 52 68 284.982 east
2 53 68 284.819 east
2 54 68 284.667 east
2 55 68 284.524 east
2 56 68 284.367 east
2 57 68 284.186 east
2 58 68 284.019 east
2 59 68 283.864 east
2 60 68 283.741 east
2 61 68 283.652 east
2 62 68 283.464 east
2 63 68 283.304 east
2 64 68 283.068 east
2 64 31 295.656 south
2 64 32 295.317 south
2 64 33 294.959 south
2 64 34 294.589 south
2 64 35 294.212 south
2 64 36 293.809 south
2 64 37 293.391 south
2 64 38 292.997 south
2 64 39 292.619 south
2 64 40 292.245 south
2 64 41 291.852 south
2 64 42 291.472 south
2 64 43 291.064 south
2 64 44 290.644 south
2 64 45 290.203 south
2 64 46 289.804 south
2 64 47 289.418 south
2 64 48 289.048 south
2 64 49 288.685 south
2 64 50 288.315 south
2 64 51 287.934 south
2 64 52 287.582 south
2 64 53 287.242 south
2 64 54 286.92 south
2 64 55 286.617 south
2 64 56 286.306 south
2 64 57 286.014 south
2 64 58 285.736 south
2 64 59 285.472 south
2 64 60 285.203 south
2 64 61 284.951 south
2 64 62 284.67 south
2 64 63 284.433 south
2 64 64 284.182 south
2 64 65 283.974 south
2 64 66 283.717 south
2 64 67 283.41 south
2 1 12 313.47 north
2 1 13 313.424 north
2 1 14 313.365 north
2 1 15 313.294 north
2 1 16 313.23 north
2 1 17 313.128 north
2 1 18 313.012 north
2 1 19 312.882 north
2 1 20 312.755 north
2 1 21 312.602 north
2 1 22 312.44 north
2 1 23 312.269 north
2 1 24 312.086 north
2 1 25 311.885 north
2 1 28 311.186 north
2 1 29 310.976 north
2 1 30 310.749 north
2 1 31 310.503 north
2 1 32 310.248 north
2 1 33 309.981 north
2 1 34 309.698 north
2 1 35 309.4 north
2 1 36 309.083 north
2 1 37 308.742 north
2 1 38 308.401 north
2 1 39 308.06 north
2 1 40 307.716 north
2 1 41 307.364 north
2 1 42 307.02 north
2 1 43 306.64 north
2 1 44 306.253 north
2 1 45 305.856 north
2 1 46 305.443 north
2 1 47 304.997 north
2 1 48 304.61 north
2 1 49 304.245 north
2 1 50 303.884 north
2 1 51 303.508 north
2 1 52 303.134 north
2 1 53 302.762 north
2 1 54 302.407 north
2 1 55 302.069 north
2 1 56 301.726 north
2 1 57 301.385 north
2 1 58 301.042 north
2 1 59 300.696 north
2 1 60 300.365 north
2 1 61 300.032 north
2 1 62 299.706 north
2 1 63 299.388 north
2 1 64 299.045 north
2 1 65 298.69 north
2 1 66 298.343 north
2 1 67 297.998 north
3 1 68 297.637 east
3 2 68 297.342 east
3 3 68 297.041 east
3 4 68 296.753 east
3 5 68 296.472 east
3 6 68 296.17 east
3 7 68 295.852 east
3 8 68 295.545 east
3 9 68 295.214 east
3 10 68 294.888 east
3 11 68 294.546 east
3 12 68 294.197 east
3 13 68 293.839 east
3 14 68 293.455 east
3 15 68 293.046 east
3 16 68 292.626 east
3 17 68 292.204 east
3 18 68 291.775 east
3 19 68 291.344 east
3 20 68 290.904 east
3 21 68 290.453 east
3 22 68 289.995 east
3 23 68 289.531 east
3 24 68 289.078 east
3 25 68 288.603 east
3 26 68 288.109 east
3 27 68 287.596 east
3 28 68 287.04 east
3 29 68 286.546 east
3 30 68 286.29 east
3 31 68 286.27 east
3 32 68 286.239 east
3 33 68 286.24 east
3 34 68 286.238 east
3 35 68 286.234 east
3 36 68 286.278 east
3 37 68 286.27 east
3 38 68 286.262 east
3 39 68 286.249 east
3 40 68 286.275 east
3 41 68 286.233 east
3 42 68 286.174 east
3 43 68 286.099 east
3 44 68 286.013 east
3 45 68 285.915 east
3 46 68 285.806 east
3 47 68 285.685 east
3 48 68 285.544 east
3 49 68 285.41 east
3 50 68 285.267 east
3 51 68 285.123 east
3 52 68 284.981 east
3 53 68 284.822 east
3 54 68 284.669 east
3 55 68 284.523 east
3 56 68 284.366 east
3 57 68 284.188 east
3 58 68 284.024 east
3 59 68 283.869 east
3 60 68 283.742 east
3 61 68 283.642 east
3 62 68 283.45 east
3 63 68 283.282 east
3 64 68 283.046 east
3 1 1 314.155 west
3 2 1 314.087 west
3 3 1 314.011 west
3 4 1 313.929 west
3 5 1 313.838 west
3 6 1 313.741 west
3 7 1 313.639 west
3 8 1 313.537 west
3 9 1 313.431 west
3 10 1 313.34 west
3 11 1 313.251 west
3 12 1 313.171 west
3 13 1 313.084 west
3 14 1 312.991 west
3 15 1 312.895 west
3 16 1 312.802 west
3 17 1 312.7 west
3 18 1 312.627 west
3 19 1 312.565 west
3 20 1 312.473 west
3 21 1 312.36 west
3 22 1 312.208 west
3 23 1 312.005 west
3 24 1 311.803 west
3 25 1 311.557 west
3 26 1 311.528 west
3 27 1 311.621 west
3 28 1 311.616 west
3 29 1 311.699 west
3 30 1 311.725 west
3 31 1 311.713 west
3 32 1 311.65 west
3 33 1 311.586 west
3 34 1 311.517 west
3 35 1 311.451 west
3 36 1 311.389 west
3 37 1 311.294 west
3 38 1 311.2 west
3 39 1 311.091 west
3 40 1 310.955 west
3 41 1 310.793 west
3 42 1 310.64 west
3 43 1 310.539 west
3 44 1 310.437 west
3 45 1 310.331 west
3 64 28 296.979 south
3 64 29 296.335 south
3 64 30 295.976 south
3 64 31 295.652 south
3 64 32 295.312 south
3 64 33 294.953 south
3 64 34 294.585 south
3 64 35 294.21 south
3 64 36 293.806 south
3 64 37 293.387 south
3 64 38 292.993 south
3 64 39 292.615 south
3 64 40 292.241 south
3 64 41 291.846 south
3 64 42 291.466 south
3 64 43 291.057 south
3 64 44 290.642 south
3 64 45 290.208 south
3 64 46 289.809 south
3 64 47 289.42 south
3 64 48 289.043 south
3 64 49 288.67 south
3 64 50 288.304 south
3 64 51 287.938 south
3 64 52 287.593 south
3 64 53 287.262 south
3 64 54 286.935 south
3 64 55 286.624 south
3 64 56 286.314 south
3 64 57 286.019 south
3 64 58 285.737 south
3 64 59 285.469 south
3 64 60 285.196 south
3 64 61 284.939 south
3 64 62 284.66 south
3 64 63 284.419 south
3 64 64 284.163 south
3 64 65 283.944 south
3 64 66 283.681 south
3 64 67 283.382 south
3 1 2 314.09 north
3 1 3 314.021 north
3 1 4 313.951 north
3 1 5 313.877 north
3 1 6 313.807 north
3 1 7 313.739 north
3 1 8 313.678 north
3 1 9 313.625 north
3 1 10 313.569 north
3 1 11 313.508 north
3 1 12 313.444 north
3 1 13 313.381 north
3 1 14 313.316 north
3 1 15 313.248 north
3 1 16 313.184 north
3 1 17 313.088 north
3 1 18 312.976 north
3 1 19 312.85 north
3 1 20 312.726 north
3 1 21 312.574 north
3 1 22 312.414 north
3 1 23 312.245 north
3 1 24 312.069 north
3 1 25 311.879 north
3 1 26 311.669 north
3 1 27 311.417 north
3 1 28 311.182 north
3 1 29 310.964 north
3 1 30 310.732 north
3 1 31 310.488 north
3 1 32 310.234 north
3 1 33 309.968 north
3 1 34 309.687 north
3 1 35 309.391 north
3 1 36 309.073 north
3 1 37 308.731 north
3 1 38 308.389 north
3 1 39 308.048 north
3 1 40 307.705 north
3 1 41 307.354 north
3 1 42 306.995 north
3 1 43 306.615 north
3 1 44 306.24 north
3 1 45 305.84 north
3 1 46 305.44 north
3 1 47 305.017 north
3 1 48 304.633 north
3 1 49 304.258 north
3 1 50 303.895 north
3 1 51 303.521 north
3 1 52 303.149 north
3 1 53 302.779 north
3 1 54 302.422 north
3 1 55 302.075 north
3 1 56 301.727 north
3 1 57 301.385 north
3 1 58 301.042 north
3 1 59 300.7 north
3 1 60 300.368 north
3 1 61 300.034 north
3 1 62 299.704 north
3 1 63 299.376 north
3 1 64 299.035 north
3 1 65 298.688 north
3 1 66 298.344 north
3 1 67 297.997 north
4 1 68 297.631 east
4 2 68 297.337 east
4 3 68 297.042 east
4 4 68 296.747 east
4 5 68 296.45 east
4 6 68 296.148 east
4 7 68 295.838 east
4 8 68 295.525 east
4 9 68 295.2 east
4 10 68 294.876 east
4 11 68 294.534 east
4 12 68 294.182 east
4 13 68 293.818 east
4 14 68 293.441 east
4 15 68 293.048 east
4 16 68 292.644 east
4 17 68 292.233 east
4 18 68 291.815 east
4 19 68 291.389 east
4 20 68 290.957 east
4 21 68 290.515 east
4 22 68 290.067 east
4 23 68 289.612 east
4 24 68 289.158 east
4 25 68 288.696 east
4 26 68 288.234 east
4 27 68 287.774 east
4 28 68 287.319 east
4 29 68 286.93 east
4 30 68 286.657 east
4 31 68 286.499 east
4 32 68 286.365 east
4 33 68 286.301 east
4 34 68 286.257 east
4 35 68 286.229 east
4 36 68 286.235 east
4 37 68 286.222 east
4 38 68 286.207 east
4 39 68 286.189 east
4 40 68 286.2 east
4 41 68 286.159 east
4 42 68 286.102 east
4 43 68 286.03 east
4 44 68 285.954 east
4 45 68 285.857 east
4 46 68 285.754 east
4 47 68 285.639 east
4 48 68 285.518 east
4 49 68 285.387 east
4 50 68 285.251 east
4 51 68 285.108 east
4 52 68 284.965 east
4 53 68 284.812 east
4 54 68 284.658 east
4 55 68 284.501 east
4 56 68 284.344 east
4 57 68 284.179 east
4 58 68 284.012 east
4 59 68 283.849 east
4 60 68 283.686 east
4 61 68 283.521 east
4 62 68 283.317 east
4 63 68 283.116 east
4 64 68 282.884 east
4 1 1 314.075 west
4 2 1 314.003 west
4 3 1 313.92 west
4 4 1 313.828 west
4 5 1 313.727 west
4 6 1 313.617 west
4 7 1 313.502 west
4 8 1 313.378 west
4 9 1 313.257 west
4 10 1 313.169 west
4 11 1 313.109 west
4 12 1 313.045 west
4 13 1 312.978 west
4 14 1 312.919 west
4 15 1 312.835 west
4 16 1 312.746 west
4 17 1 312.65 west
4 18 1 312.567 west
4 19 1 312.474 west
4 20 1 312.37 west
4 21 1 312.255 west
4 22 1 312.136 west
4 23 1 311.995 west
4 24 1 311.877 west
4 25 1 311.749 west
4 26 1 311.664 west
4 27 1 311.619 west
4 28 1 311.559 west
4 29 1 311.53 west
4 30 1 311.491 west
4 31 1 311.439 west
4 32 1 311.359 west
4 33 1 311.288 west
4 34 1 311.216 west
4 35 1 311.141 west
4 36 1 311.08 west
4 37 1 310.995 west
4 38 1 310.907 west
4 39 1 310.805 west
4 40 1 310.694 west
4 41 1 310.574 west
4 42 1 310.456 west
4 43 1 310.327 west
4 44 1 310.192 west
4 45 1 310.05 west
4 46 1 309.903 west
4 47 1 309.724 west
4 48 1 309.539 west
4 49 1 309.348 west
4 50 1 309.154 west
4 51 1 308.953 west
4 52 1 308.751 west
4 53 1 308.542 west
4 54 1 308.331 west
4 55 1 308.117 west
4 56 1 307.901 west
4 57 1 307.682 west
4 58 1 307.464 west
4 59 1 307.24 west
4 60 1 307.017 west
4 61 1 306.79 west
4 62 1 306.563 west
4 63 1 306.332 west
4 64 1 306.1 south
4 64 2 305.898 south
4 64 3 305.687 south
4 64 4 305.467 south
4 64 5 305.237 south
4 64 6 304.996 south
4 64 7 304.748 south
4 64 8 304.491 south
4 64 9 304.224 south
4 64 10 303.946 south
4 64 11 303.661 south
4 64 12 303.366 south
4 64 13 303.062 south
4 64 14 302.745 south
4 64 15 302.421 south
4 64 16 302.085 south
4 64 17 301.74 south
4 64 18 301.385 south
4 64 19 301.019 south
4 64 20 300.64 south
4 64 21 300.253 south
4 64 22 299.854 south
4 64 23 299.446 south
4 64 24 299.026 south
4 64 25 298.598 south
4 64 26 298.158 south
4 64 27 297.707 south
4 64 28 297.256 south
4 64 29 296.805 south
4 64 30 296.386 south
4 64 31 295.969 south
4 64 32 295.566 south
4 64 33 295.159 south
4 64 34 294.762 south
4 64 35 294.356 south
4 64 36 293.947 south
4 64 37 293.535 south
4 64 38 293.136 south
4 64 39 292.732 south
4 64 40 292.34 south
4 64 41 291.938 south
4 64 42 291.547 south
4 64 43 291.143 south
4 64 44 290.747 south
4 64 45 290.344 south
4 64 46 289.952 south
4 64 47 289.562 south
4 64 48 289.181 south
4 64 49 288.804 south
4 64 50 288.432 south
4 64 51 288.063 south
4 64 52 287.694 south
4 64 53 287.34 south
4 64 54 286.996 south
4 64 55 286.671 south
4 64 56 286.35 south
4 64 57 286.047 south
4 64 58 285.751 south
4 64 59 285.465 south
4 64 60 285.175 south
4 64 61 284.898 south
4 64 62 284.604 south
4 64 63 284.332 south
4 64 64 284.048 south
4 64 65 283.776 south
4 64 66 283.492 south
4 64 67 283.201 south
4 1 2 314.006 north
4 1 3 313.931 north
4 1 4 313.851 north
4 1 5 313.767 north
4 1 6 313.682 north
4 1 7 313.6 north
4 1 8 313.527 north
4 1 9 313.481 north
4 1 10 313.446 north
4 1 11 313.397 north
4 1 12 313.344 north
4 1 13 313.284 north
4 1 14 313.217 north
4 1 15 313.143 north
4 1 16 313.066 north
4 1 17 312.97 north
4 1 18 312.86 north
4 1 19 312.738 north
4 1 20 312.613 north
4 1 21 312.466 north
4 1 22 312.307 north
4 1 23 312.135 north
4 1 24 311.96 north
4 1 25 311.765 north
4 1 26 311.566 north
4 1 27 311.355 north
4 1 28 311.134 north
4 1 29 310.903 north
4 1 30 310.666 north
4 1 31 310.413 north
4 1 32 310.156 north
4 1 33 309.88 north
4 1 34 309.592 north
4 1 35 309.291 north
4 1 36 308.985 north
4 1 37 308.659 north
4 1 38 308.325 north
4 1 39 307.983 north
4 1 40 307.637 north
4 1 41 307.279 north
4 1 42 306.925 north
4 1 43 306.55 north
4 1 44 306.176 north
4 1 45 305.787 north
4 1 46 305.394 north
4 1 47 304.998 north
4 1 48 304.619 north
4 1 49 304.239 north
4 1 50 303.877 north
4 1 51 303.508 north
4 1 52 303.142 north
4 1 53 302.782 north
4 1 54 302.43 north
4 1 55 302.081 north
4 1 56 301.734 north
4 1 57 301.392 north
4 1 58 301.051 north
4 1 59 300.711 north
4 1 60 300.375 north
4 1 61 300.039 north
4 1 62 299.702 north
4 1 63 299.365 north
4 1 64 299.026 north
4 1 65 298.682 north
4 1 66 298.337 north
4 1 67 297.987 north
