#k i j head boundname
1 1 68 297.524 east
1 2 68 297.235 east
1 3 68 296.922 east
1 4 68 296.637 east
1 5 68 296.392 east
1 6 68 296.097 east
1 7 68 295.752 east
1 8 68 295.447 east
1 9 68 295.101 east
1 10 68 294.761 east
1 11 68 294.433 east
1 12 68 294.112 east
1 13 68 293.773 east
1 14 68 293.381 east
1 15 68 292.957 east
1 16 68 292.534 east
1 17 68 292.113 east
1 18 68 291.68 east
1 19 68 291.258 east
1 20 68 290.822 east
1 21 68 290.364 east
1 22 68 289.902 east
1 23 68 289.436 east
1 24 68 288.999 east
1 25 68 288.527 east
1 26 68 288.02 east
1 27 68 287.477 east
1 28 68 286.885 east
1 29 68 286.296 east
1 30 68 286.024 east
1 31 68 286.131 east
1 32 68 286.171 east
1 33 68 286.194 east
1 34 68 286.205 east
1 35 68 286.202 east
1 36 68 286.263 east
1 37 68 286.258 east
1 38 68 286.251 east
1 39 68 286.242 east
1 40 68 286.283 east
1 41 68 286.245 east
1 42 68 286.189 east
1 43 68 286.115 east
1 44 68 286.02 east
1 45 68 285.922 east
1 46 68 285.8 east
1 47 68 285.672 east
1 48 68 285.514 east
1 49 68 285.379 east
1 50 68 285.23 east
1 51 68 285.083 east
1 52 68 284.93 east
1 53 68 284.757 east
1 54 68 284.614 east
1 55 68 284.475 east
1 56 68 284.314 east
1 57 68 284.13 east
1 58 68 283.961 east
1 59 68 283.813 east
1 60 68 283.661 east
1 61 68 283.582 east
1 62 68 283.434 east
1 63 68 283.272 east
1 1 1 314.463 west
1 2 1 314.4 west
1 3 1 314.332 west
1 4 1 314.254 west
1 5 1 314.165 west
1 6 1 314.074 west
1 7 1 313.977 west
1 8 1 313.88 west
1 9 1 313.775 west
1 10 1 313.685 west
1 11 1 313.588 west
1 12 1 313.5 west
1 13 1 313.42 west
1 14 1 313.336 west
1 15 1 313.241 west
1 16 1 313.15 west
1 17 1 313.058 west
1 18 1 312.958 west
1 64 44 290.593 south
1 64 45 290.145 south
1 64 46 289.741 south
1 64 47 289.358 south
1 64 48 288.991 south
1 64 49 288.629 south
1 64 50 288.254 south
1 64 51 287.864 south
1 64 52 287.502 south
1 64 53 287.146 south
1 64 54 286.824 south
1 64 55 286.532 south
1 64 56 286.226 south
1 64 57 285.94 south
1 64 58 285.669 south
1 64 59 285.413 south
1 64 60 285.149 south
1 64 61 284.903 south
1 64 62 284.623 south
1 64 63 284.393 south
1 64 64 284.151 south
1 64 65 283.953 south
1 1 2 314.408 north
1 1 3 314.345 north
1 1 4 314.264 north
1 1 5 314.193 north
1 1 6 314.122 north
1 1 7 314.053 north
1 1 8 313.988 north
1 1 9 313.907 north
1 1 10 313.83 north
1 1 11 313.698 north
1 1 46 305.375 north
1 1 47 304.906 north
1 1 48 304.508 north
1 1 49 304.152 north
1 1 50 303.788 north
1 1 51 303.405 north
1 1 52 303.03 north
1 1 53 302.653 north
1 1 54 302.298 north
1 1 55 301.969 north
1 1 56 301.63 north
1 1 57 301.29 north
1 1 58 300.943 north
1 1 59 300.591 north
1 1 60 300.261 north
1 1 61 299.927 north
1 1 62 299.607 north
1 1 63 299.3 north
1 1 64 298.952 north
1 1 65 298.588 north
1 1 66 298.236 north
1 1 67 297.89 north
2 1 68 297.528 east
2 2 68 297.234 east
2 3 68 296.929 east
2 4 68 296.64 east
2 5 68 296.374 east
2 6 68 296.076 east
2 7 68 295.747 east
2 8 68 295.442 east
2 9 68 295.104 east
2 10 68 294.78 east
2 11 68 294.445 east
2 12 68 294.103 east
2 13 68 293.755 east
2 14 68 293.371 east
2 15 68 292.958 east
2 16 68 292.538 east
2 17 68 292.12 east
2 18 68 291.693 east
2 19 68 291.268 east
2 20 68 290.833 east
2 21 68 290.381 east
2 22 68 289.923 east
2 23 68 289.459 east
2 24 68 289.016 east
2 25 68 288.543 east
2 26 68 288.045 east
2 27 68 287.523 east
2 28 68 286.934 east
2 29 68 286.392 east
2 30 68 286.143 east
2 31 68 286.186 east
2 32 68 286.191 east
2 33 68 286.203 east
2 34 68 286.207 east
2 35 68 286.203 east
2 36 68 286.258 east
2 37 68 286.253 east
2 38 68 286.246 east
2 39 68 286.237 east
2 40 68 286.27 east
2 41 68 286.231 east
2 42 68 286.175 east
2 43 68 286.101 east
2 44 68 286.011 east
2 45 68 285.913 east
2 46 68 285.798 east
2 47 68 285.672 east
2 48 68 285.519 east
2 49 68 285.381 east
2 50 68 285.232 east
2 51 68 285.083 east
2 52 68 284.938 east
2 53 68 284.769 east
2 54 68 284.613 east
2 55 68 284.469 east
2 56 68 284.312 east
2 57 68 284.133 east
2 58 68 283.968 east
2 59 68 283.818 east
2 60 68 283.695 east
2 61 68 283.603 east
2 62 68 283.414 east
2 63 68 283.248 east
2 64 68 283.008 east
2 64 31 295.594 south
2 64 32 295.259 south
2 64 33 294.906 south
2 64 34 294.539 south
2 64 35 294.166 south
2 64 36 293.765 south
2 64 37 293.349 south
2 64 38 292.955 south
2 64 39 292.577 south
2 64 40 292.203 south
2 64 41 291.808 south
2 64 42 291.426 south
2 64 43 291.016 south
2 64 44 290.594 south
2 64 45 290.151 south
2 64 46 289.747 south
2 64 47 289.359 south
2 64 48 288.985 south
2 64 49 288.62 south
2 64 50 288.248 south
2 64 51 287.868 south
2 64 52 287.514 south
2 64 53 287.172 south
2 64 54 286.85 south
2 64 55 286.547 south
2 64 56 286.236 south
2 64 57 285.946 south
2 64 58 285.669 south
2 64 59 285.408 south
2 64 60 285.14 south
2 64 61 284.89 south
2 64 62 284.61 south
2 64 63 284.374 south
2 64 64 284.124 south
2 64 65 283.915 south
2 64 66 283.656 south
2 64 67 283.348 south
2 1 12 313.555 north
2 1 13 313.418 north
2 1 14 313.306 north
2 1 15 313.22 north
2 1 16 313.128 north
2 1 17 313.027 north
2 1 18 312.913 north
2 1 19 312.787 north
2 1 20 312.663 north
2 1 21 312.514 north
2 1 22 312.357 north
2 1 23 312.189 north
2 1 24 312.01 north
2 1 28 311.122 north
2 1 29 310.915 north
2 1 30 310.69 north
2 1 31 310.447 north
2 1 32 310.194 north
2 1 33 309.929 north
2 1 34 309.647 north
2 1 35 309.35 north
2 1 36 309.033 north
2 1 37 308.693 north
2 1 38 308.351 north
2 1 39 308.008 north
2 1 40 307.663 north
2 1 41 307.309 north
2 1 42 306.963 north
2 1 43 306.581 north
2 1 44 306.191 north
2 1 45 305.791 north
2 1 46 305.376 north
2 1 47 304.93 north
2 1 48 304.538 north
2 1 49 304.17 north
2 1 50 303.806 north
2 1 51 303.426 north
2 1 52 303.049 north
2 1 53 302.675 north
2 1 54 302.317 north
2 1 55 301.977 north
2 1 56 301.632 north
2 1 57 301.289 north
2 1 58 300.944 north
2 1 59 300.597 north
2 1 60 300.265 north
2 1 61 299.931 north
2 1 62 299.604 north
2 1 63 299.284 north
2 1 64 298.941 north
2 1 65 298.585 north
2 1 66 298.237 north
2 1 67 297.89 north
3 1 68 297.529 east
3 2 68 297.235 east
3 3 68 296.934 east
3 4 68 296.646 east
3 5 68 296.364 east
3 6 68 296.062 east
3 7 68 295.744 east
3 8 68 295.438 east
3 9 68 295.107 east
3 10 68 294.782 east
3 11 68 294.443 east
3 12 68 294.096 east
3 13 68 293.741 east
3 14 68 293.361 east
3 15 68 292.956 east
3 16 68 292.541 east
3 17 68 292.126 east
3 18 68 291.703 east
3 19 68 291.277 east
3 20 68 290.842 east
3 21 68 290.394 east
3 22 68 289.94 east
3 23 68 289.479 east
3 24 68 289.03 east
3 25 68 288.558 east
3 26 68 288.067 east
3 27 68 287.558 east
3 28 68 287.006 east
3 29 68 286.516 east
3 30 68 286.262 east
3 31 68 286.242 east
3 32 68 286.212 east
3 33 68 286.212 east
3 34 68 286.211 east
3 35 68 286.207 east
3 36 68 286.254 east
3 37 68 286.247 east
3 38 68 286.241 east
3 39 68 286.23 east
3 40 68 286.258 east
3 41 68 286.217 east
3 42 68 286.16 east
3 43 68 286.086 east
3 44 68 286.003 east
3 45 68 285.905 east
3 46 68 285.795 east
3 47 68 285.671 east
3 48 68 285.522 east
3 49 68 285.383 east
3 50 68 285.234 east
3 51 68 285.084 east
3 52 68 284.936 east
3 53 68 284.772 east
3 54 68 284.616 east
3 55 68 284.468 east
3 56 68 284.311 east
3 57 68 284.135 east
3 58 68 283.972 east
3 59 68 283.822 east
3 60 68 283.696 east
3 61 68 283.592 east
3 62 68 283.4 east
3 63 68 283.226 east
3 64 68 282.987 east
3 1 1 314.45 west
3 2 1 314.388 west
3 3 1 314.319 west
3 4 1 314.24 west
3 5 1 314.153 west
3 6 1 314.062 west
3 7 1 313.965 west
3 8 1 313.868 west
3 9 1 313.766 west
3 10 1 313.674 west
3 11 1 313.58 west
3 12 1 313.494 west
3 13 1 313.41 west
3 14 1 313.321 west
3 15 1 313.229 west
3 16 1 313.136 west
3 17 1 313.041 west
3 18 1 312.941 west
3 19 1 312.839 west
3 20 1 312.71 west
3 21 1 312.554 west
3 22 1 312.398 west
3 23 1 312.225 west
3 24 1 312.069 west
3 25 1 311.902 west
3 26 1 311.833 west
3 27 1 311.811 west
3 28 1 311.753 west
3 29 1 311.702 west
3 30 1 311.655 west
3 31 1 311.62 west
3 32 1 311.556 west
3 33 1 311.492 west
3 34 1 311.424 west
3 35 1 311.355 west
3 36 1 311.283 west
3 37 1 311.183 west
3 38 1 311.078 west
3 39 1 310.963 west
3 40 1 310.826 west
3 41 1 310.665 west
3 42 1 310.504 west
3 43 1 310.399 west
3 44 1 310.292 west
3 45 1 310.184 west
3 64 28 296.919 south
3 64 29 296.268 south
3 64 30 295.912 south
3 64 31 295.59 south
3 64 32 295.254 south
3 64 33 294.9 south
3 64 34 294.535 south
3 64 35 294.163 south
3 64 36 293.762 south
3 64 37 293.344 south
3 64 38 292.951 south
3 64 39 292.572 south
3 64 40 292.198 south
3 64 41 291.802 south
3 64 42 291.42 south
3 64 43 291.009 south
3 64 44 290.592 south
3 64 45 290.156 south
3 64 46 289.752 south
3 64 47 289.36 south
3 64 48 288.981 south
3 64 49 288.606 south
3 64 50 288.238 south
3 64 51 287.872 south
3 64 52 287.525 south
3 64 53 287.193 south
3 64 54 286.865 south
3 64 55 286.555 south
3 64 56 286.244 south
3 64 57 285.951 south
3 64 58 285.671 south
3 64 59 285.405 south
3 64 60 285.133 south
3 64 61 284.878 south
3 64 62 284.599 south
3 64 63 284.359 south
3 64 64 284.105 south
3 64 65 283.884 south
3 64 66 283.62 south
3 64 67 283.32 south
3 1 2 314.393 north
3 1 3 314.329 north
3 1 4 314.254 north
3 1 5 314.183 north
3 1 6 314.112 north
3 1 7 314.043 north
3 1 8 313.971 north
3 1 9 313.888 north
3 1 10 313.798 north
3 1 11 313.668 north
3 1 12 313.528 north
3 1 13 313.387 north
3 1 14 313.273 north
3 1 15 313.187 north
3 1 16 313.1 north
3 1 17 312.999 north
3 1 18 312.886 north
3 1 19 312.761 north
3 1 20 312.637 north
3 1 21 312.489 north
3 1 22 312.332 north
3 1 23 312.167 north
3 1 24 311.994 north
3 1 25 311.806 north
3 1 26 311.6 north
3 1 27 311.35 north
3 1 28 311.118 north
3 1 29 310.902 north
3 1 30 310.673 north
3 1 31 310.431 north
3 1 32 310.179 north
3 1 33 309.915 north
3 1 34 309.636 north
3 1 35 309.341 north
3 1 36 309.023 north
3 1 37 308.681 north
3 1 38 308.339 north
3 1 39 307.997 north
3 1 40 307.652 north
3 1 41 307.299 north
3 1 42 306.938 north
3 1 43 306.556 north
3 1 44 306.179 north
3 1 45 305.776 north
3 1 46 305.373 north
3 1 47 304.949 north
3 1 48 304.562 north
3 1 49 304.184 north
3 1 50 303.817 north
3 1 51 303.439 north
3 1 52 303.065 north
3 1 53 302.692 north
3 1 54 302.332 north
3 1 55 301.984 north
3 1 56 301.633 north
3 1 57 301.289 north
3 1 58 300.945 north
3 1 59 300.601 north
3 1 60 300.268 north
3 1 61 299.933 north
3 1 62 299.601 north
3 1 63 299.272 north
