#k i j head boundname
1 1 68 297.678 east
1 2 68 297.391 east
1 3 68 297.073 east
1 4 68 296.789 east
1 5 68 296.545 east
1 6 68 296.252 east
1 7 68 295.909 east
1 8 68 295.604 east
1 9 68 295.262 east
1 10 68 294.922 east
1 11 68 294.591 east
1 12 68 294.269 east
1 13 68 293.932 east
1 14 68 293.542 east
1 15 68 293.119 east
1 16 68 292.69 east
1 17 68 292.262 east
1 18 68 291.824 east
1 19 68 291.399 east
1 20 68 290.96 east
1 21 68 290.502 east
1 22 68 290.039 east
1 23 68 289.57 east
1 24 68 289.132 east
1 25 68 288.658 east
1 26 68 288.147 east
1 27 68 287.597 east
1 28 68 286.997 east
1 29 68 286.395 east
1 30 68 286.12 east
1 31 68 286.228 east
1 32 68 286.266 east
1 33 68 286.288 east
1 34 68 286.294 east
1 35 68 286.285 east
1 36 68 286.335 east
1 37 68 286.319 east
1 38 68 286.304 east
1 39 68 286.287 east
1 40 68 286.324 east
1 41 68 286.284 east
1 42 68 286.226 east
1 43 68 286.153 east
1 44 68 286.059 east
1 45 68 285.964 east
1 46 68 285.847 east
1 47 68 285.725 east
1 48 68 285.578 east
1 49 68 285.448 east
1 50 68 285.304 east
1 51 68 285.161 east
1 52 68 285.011 east
1 53 68 284.841 east
1 54 68 284.699 east
1 55 68 284.559 east
1 56 68 284.395 east
1 57 68 284.207 east
1 58 68 284.034 east
1 59 68 283.877 east
1 60 68 283.725 east
1 61 68 283.653 east
1 62 68 283.511 east
1 63 68 283.359 east
1 1 1 315.412 west
1 2 1 315.342 west
1 3 1 315.267 west
1 4 1 315.19 west
1 5 1 315.111 west
1 6 1 315.034 west
1 7 1 314.95 west
1 8 1 314.869 west
1 9 1 314.78 west
1 10 1 314.703 west
1 11 1 314.613 west
1 12 1 314.526 west
1 13 1 314.441 west
1 14 1 314.36 west
1 15 1 314.273 west
1 16 1 314.191 west
1 17 1 314.108 west
1 18 1 314.03 west
1 19 1 313.958 west
1 20 1 313.869 west
1 64 44 290.673 south
1 64 45 290.226 south
1 64 46 289.828 south
1 64 47 289.45 south
1 64 48 289.088 south
1 64 49 288.728 south
1 64 50 288.356 south
1 64 51 287.971 south
1 64 52 287.613 south
1 64 53 287.265 south
1 64 54 286.945 south
1 64 55 286.652 south
1 64 56 286.346 south
1 64 57 286.055 south
1 64 58 285.78 south
1 64 59 285.521 south
1 64 60 285.255 south
1 64 61 285.005 south
1 64 62 284.724 south
1 64 63 284.491 south
1 64 64 284.247 south
1 64 65 284.054 south
1 1 2 315.347 north
1 1 3 315.275 north
1 1 4 315.203 north
1 1 5 315.115 north
1 1 6 315.023 north
1 1 7 314.927 north
1 1 8 314.825 north
1 1 9 314.712 north
1 1 10 314.583 north
1 1 11 314.42 north
1 1 46 305.487 north
1 1 47 305.018 north
1 1 48 304.627 north
1 1 49 304.278 north
1 1 50 303.919 north
1 1 51 303.543 north
1 1 52 303.172 north
1 1 53 302.799 north
1 1 54 302.448 north
1 1 55 302.12 north
1 1 56 301.784 north
1 1 57 301.445 north
1 1 58 301.1 north
1 1 59 300.748 north
1 1 60 300.419 north
1 1 61 300.085 north
1 1 62 299.764 north
1 1 63 299.456 north
1 1 64 299.107 north
1 1 65 298.743 north
1 1 66 298.392 north
1 1 67 298.047 north
2 1 68 297.681 east
2 2 68 297.387 east
2 3 68 297.08 east
2 4 68 296.793 east
2 5 68 296.527 east
2 6 68 296.231 east
2 7 68 295.904 east
2 8 68 295.599 east
2 9 68 295.264 east
2 10 68 294.942 east
2 11 68 294.604 east
2 12 68 294.261 east
2 13 68 293.914 east
2 14 68 293.532 east
2 15 68 293.118 east
2 16 68 292.694 east
2 17 68 292.27 east
2 18 68 291.838 east
2 19 68 291.41 east
2 20 68 290.971 east
2 21 68 290.519 east
2 22 68 290.06 east
2 23 68 289.594 east
2 24 68 289.149 east
2 25 68 288.673 east
2 26 68 288.171 east
2 27 68 287.643 east
2 28 68 287.048 east
2 29 68 286.495 east
2 30 68 286.241 east
2 31 68 286.283 east
2 32 68 286.286 east
2 33 68 286.295 east
2 34 68 286.295 east
2 35 68 286.285 east
2 36 68 286.329 east
2 37 68 286.315 east
2 38 68 286.3 east
2 39 68 286.283 east
2 40 68 286.313 east
2 41 68 286.271 east
2 42 68 286.213 east
2 43 68 286.139 east
2 44 68 286.05 east
2 45 68 285.956 east
2 46 68 285.845 east
2 47 68 285.725 east
2 48 68 285.582 east
2 49 68 285.45 east
2 50 68 285.306 east
2 51 68 285.161 east
2 52 68 285.019 east
2 53 68 284.853 east
2 54 68 284.697 east
2 55 68 284.552 east
2 56 68 284.393 east
2 57 68 284.21 east
2 58 68 284.042 east
2 59 68 283.885 east
2 60 68 283.762 east
2 61 68 283.677 east
2 62 68 283.492 east
2 63 68 283.335 east
2 64 68 283.104 east
2 64 31 295.685 south
2 64 32 295.339 south
2 64 33 294.974 south
2 64 34 294.603 south
2 64 35 294.228 south
2 64 36 293.828 south
2 64 37 293.414 south
2 64 38 293.023 south
2 64 39 292.646 south
2 64 40 292.272 south
2 64 41 291.879 south
2 64 42 291.499 south
2 64 43 291.091 south
2 64 44 290.673 south
2 64 45 290.233 south
2 64 46 289.835 south
2 64 47 289.451 south
2 64 48 289.079 south
2 64 49 288.711 south
2 64 50 288.346 south
2 64 51 287.975 south
2 64 52 287.625 south
2 64 53 287.289 south
2 64 54 286.969 south
2 64 55 286.665 south
2 64 56 286.354 south
2 64 57 286.061 south
2 64 58 285.781 south
2 64 59 285.516 south
2 64 60 285.246 south
2 64 61 284.993 south
2 64 62 284.711 south
2 64 63 284.474 south
2 64 64 284.222 south
2 64 65 284.015 south
2 64 66 283.757 south
2 64 67 283.449 south
2 1 12 314.25 north
2 1 13 314.072 north
2 1 14 313.901 north
2 1 15 313.739 north
2 1 16 313.579 north
2 1 17 313.424 north
2 1 18 313.265 north
2 1 19 313.1 north
2 1 20 312.936 north
2 1 21 312.759 north
2 1 22 312.578 north
2 1 23 312.395 north
2 1 24 312.201 north
2 1 25 311.999 north
2 1 28 311.28 north
2 1 29 311.059 north
2 1 30 310.817 north
2 1 31 310.568 north
2 1 32 310.309 north
2 1 33 310.039 north
2 1 34 309.753 north
2 1 35 309.454 north
2 1 36 309.135 north
2 1 37 308.792 north
2 1 38 308.448 north
2 1 39 308.103 north
2 1 40 307.758 north
2 1 41 307.406 north
2 1 42 307.062 north
2 1 43 306.683 north
2 1 44 306.295 north
2 1 45 305.9 north
2 1 46 305.488 north
2 1 47 305.044 north
2 1 48 304.658 north
2 1 49 304.295 north
2 1 50 303.936 north
2 1 51 303.562 north
2 1 52 303.19 north
2 1 53 302.82 north
2 1 54 302.466 north
2 1 55 302.128 north
2 1 56 301.785 north
2 1 57 301.444 north
2 1 58 301.101 north
2 1 59 300.754 north
2 1 60 300.423 north
2 1 61 300.088 north
2 1 62 299.761 north
2 1 63 299.44 north
2 1 64 299.096 north
2 1 65 298.741 north
2 1 66 298.392 north
2 1 67 298.046 north
3 1 68 297.682 east
3 2 68 297.388 east
3 3 68 297.086 east
3 4 68 296.798 east
3 5 68 296.518 east
3 6 68 296.217 east
3 7 68 295.9 east
3 8 68 295.595 east
3 9 68 295.266 east
3 10 68 294.942 east
3 11 68 294.602 east
3 12 68 294.255 east
3 13 68 293.901 east
3 14 68 293.521 east
3 15 68 293.115 east
3 16 68 292.697 east
3 17 68 292.276 east
3 18 68 291.849 east
3 19 68 291.42 east
3 20 68 290.982 east
3 21 68 290.533 east
3 22 68 290.076 east
3 23 68 289.614 east
3 24 68 289.162 east
3 25 68 288.688 east
3 26 68 288.193 east
3 27 68 287.678 east
3 28 68 287.121 east
3 29 68 286.621 east
3 30 68 286.361 east
3 31 68 286.34 east
3 32 68 286.306 east
3 33 68 286.304 east
