#rno k i j rlen rwid rgrd rtp rbth rhk man ncon ustrf ndv line_id
1 3 46 39 15.061904 1.005788397261125 0.018878515647145547 290.27856 1 1.0 0.03700000047683716 1 1.0 0 6867623
2 4 46 40 55.586494 1.0329390820682554 0.008064091679752474 290.27856 1 1.0 0.03700000047683716 2 1.0 0 6867623
3 4 47 40 55.786373 1.0757404661053105 0.011566846843259718 290.27856 1 1.0 0.03700000047683716 2 1.0 0 6867623
4 4 47 41 104.53734 1.1373540090247571 0.0057210182232437 290.27856 1 1.0 0.03700000047683716 2 1.0 0 6867623
5 4 48 41 44.056 1.1944594959373316 0.01092571344342208 290.27856 1 1.0 0.03700000047683716 2 1.0 0 6867623
6 4 48 42 75.537994 1.2404203337512776 0.00948045315793437 290.27856 1 1.0 0.03700000047683716 2 1.0 0 6867623
7 4 49 42 102.39204 1.3088001007085333 0.008017732201041386 290.27856 1 1.0 0.03700000047683716 2 1.0 0 6867623
8 4 50 42 101.58078 1.3871883196422103 0.008381865873627513 290.27856 1 1.0 0.03700000047683716 2 1.0 0 6867623
9 4 51 42 109.9661 1.4684873414801636 0.005231404110649733 290.27856 1 1.0 0.03700000047683716 2 1.0 0 6867623
10 4 52 42 32.966766 1.5234174139993075 0.01258971885824483 290.27856 1 1.0 0.03700000047683716 2 1.0 0 6867623
11 4 52 43 70.1542 1.5630475399034411 0.010834641640114242 290.27856 1 1.0 0.03700000047683716 2 1.0 0 6867623
12 4 53 43 118.698395 1.6356249194456902 0.004944944963766645 290.27856 1 1.0 0.03700000047683716 2 1.0 0 6867623
13 4 54 43 27.13637 1.6916702426589532 0.019534042718476547 290.27856 1 1.0 0.03700000047683716 2 1.0 0 6867623
14 4 54 44 104.567474 1.7422849756921281 0.008067951220861867 290.27856 1 1.0 0.03700000047683716 2 1.0 0 6867623
15 4 54 45 105.04371 1.8228400592174014 0.00644763369839834 290.27856 1 1.0 0.03700000047683716 2 1.0 0 6867623
16 4 54 46 63.23355 1.8875101504284948 0.00813657536272823 290.27856 1 1.0 0.03700000047683716 2 1.0 0 6867623
17 4 55 46 64.599625 1.936637382136253 0.009393548432671896 290.27856 1 1.0 0.03700000047683716 2 1.0 0 6867623
18 4 55 47 86.17004 1.9945792836131702 0.008730224537739362 290.27856 1 1.0 0.03700000047683716 2 1.0 0 6867623
19 4 56 47 100.74169 2.066410754518037 0.008040032612608565 289.95316 1 1.0 0.03700000047683716 2 1.0 0 6867623
20 3 57 47 100.50172 2.1437500335663326 0.007883926190417096 289.55377 1 1.0 0.03700000047683716 2 1.0 0 6867623
21 2 58 47 96.36428 2.2194070306186204 0.008551245805329514 289.23486 1 1.0 0.03700000047683716 2 1.0 0 6867623
22 2 58 48 108.37468 2.298089601989106 0.007793169157915222 289.1518 1 1.0 0.03700000047683716 2 1.0 0 6867623
23 2 58 49 101.46926 2.3787341476383723 0.00799146631895042 289.0797 1 1.0 0.03700000047683716 2 1.0 0 6867623
