#rno k i j rlen rwid rgrd rtp rbth rhk man ncon ustrf ndv line_id
24 2 58 50 100.00313 2.456161434523381 0.00819648146172088 289.07034 1 1.0 0.03700000047683716 2 1.0 0 6867623
25 2 58 51 103.65218 2.534427610606734 0.006775325378999268 288.7341 1 1.0 0.03700000047683716 2 1.0 0 6867623
26 2 58 52 70.83499 2.6014842341575086 0.006859319819725889 288.7294 1 1.0 0.03700000047683716 2 1.0 0 6867623
27 2 57 52 49.886475 2.647878250202928 0.012578617116481667 288.40805 1 1.0 0.03700000047683716 2 1.0 0 6867623
28 2 57 53 106.021904 2.707795073806671 0.007997260593848324 288.28964 1 1.0 0.03700000047683716 2 1.0 0 6867623
29 2 57 54 104.64248 2.788754965233326 0.006603697317486649 288.1148 1 1.0 0.03700000047683716 2 1.0 0 6867623
30 2 57 55 67.049614 2.854737386521284 0.008080711777385537 288.1148 1 1.0 0.03700000047683716 2 1.0 0 6867623
31 2 58 55 67.5674 2.9064717331104193 0.009353933502248366 287.51724 1 1.0 0.03700000047683716 2 1.0 0 6867623
32 2 58 56 89.464226 2.9668199639990283 0.00612929746145805 287.26926 1 1.0 0.03700000047683716 2 1.0 0 6867623
33 2 59 56 46.77849 3.01917918499382 0.014078424216389517 287.26926 1 1.0 0.03700000047683716 2 1.0 0 6867623
34 1 59 57 116.848625 3.0820621916997277 0.004202163230368596 286.72668 1 1.0 0.03700000047683716 2 1.0 0 6867623
35 1 60 57 5.148894 3.1289467247710894 0.09417236016529074 286.72668 1 1.0 0.03700000047683716 2 1.0 0 6867623
36 1 60 58 115.32473 3.175245602280873 0.006826830329657404 286.50565 1 1.0 0.03700000047683716 2 1.0 0 6867623
37 1 60 59 80.287254 3.250420808030902 0.005781241870642555 286.11426 1 1.0 0.03700000047683716 2 1.0 0 6867623
38 1 61 59 35.03748 3.2947409165894403 0.016036586210761452 286.0447 1 1.0 0.03700000047683716 2 1.0 0 6867623
39 1 61 60 104.56697 3.3483919199891985 0.007900483199094062 285.91904 1 1.0 0.03700000047683716 2 1.0 0 6867623
40 1 61 61 100.69272 3.427274526229483 0.008057497667539146 285.55185 1 1.0 0.03700000047683716 2 1.0 0 6867623
41 1 61 62 100.88932 3.504744128183103 0.008039672885255589 285.25717 1 1.0 0.03700000047683716 2 1.0 0 6867623
42 1 61 63 100.64014 3.582193276289811 0.008097501202270487 285.1537 1 1.0 0.03700000047683716 2 1.0 0 6867623
43 1 61 64 101.837364 3.6600068406414996 0.007573893162085706 284.9263 1 1.0 0.03700000047683716 2 1.0 0 6867623
44 1 61 65 89.8003 3.733654575622146 0.005013181659758427 284.8335 1 1.0 0.03700000047683716 2 1.0 0 6867623
45 1 60 65 22.052237 3.7766403052321498 0.025683384075673114 284.70023 1 1.0 0.03700000047683716 2 1.0 0 6867623
46 1 60 66 118.66897 3.830720464117114 0.006038555281215704 284.45728 1 1.0 0.03700000047683716 2 1.0 0 6867623
47 1 60 67 59.373966 3.8991436485865645 0.0073179337236484905 284.28488 1 1.0 0.03700000047683716 2 1.0 0 6867623
48 1 59 67 48.57996 3.9406311808227663 0.01243919003876157 284.19366 1 1.0 0.03700000047683716 2 1.0 0 6867623
49 1 59 68 101.56222 3.9983320459110754 0.001 283.96176 1 1.0 0.03700000047683716 1 1.0 0 6867623
50 1 31 44 37.851482 1.0250709363619492 0.020240491815182674 296.8046 1 1.0 0.03700000047683716 1 1.0 0 6867619
51 1 30 44 61.818787 1.0910875625281187 0.02188272171510209 296.8046 1 1.0 0.03700000047683716 2 1.0 0 6867619
52 1 30 45 114.1694 1.2076533725203378 0.009099243276649838 296.8046 1 1.0 0.03700000047683716 2 1.0 0 6867619
53 1 30 46 20.980824 1.2971701374647948 0.03806012192418261 296.8046 1 1.0 0.03700000047683716 2 1.0 0 6867619
54 1 29 46 82.9045 1.36597863545483 0.017111739324296167 296.8046 1 1.0 0.03700000047683716 2 1.0 0 6867619
55 1 29 47 101.65399 1.4882209733030445 0.00969753388591717 296.8046 1 1.0 0.03700000047683716 2 1.0 0 6867619
56 1 29 48 26.593073 1.5731654440417981 0.03988140741065149 296.8046 1 1.0 0.03700000047683716 2 1.0 0 6867619
57 1 30 48 111.381966 1.6645532754907297 0.01533938251132203 296.8046 1 1.0 0.03700000047683716 2 1.0 0 6867619
58 1 30 49 110.88988 1.8117750768319925 0.014632888036106668 296.06174 1 1.0 0.03700000047683716 2 1.0 0 6867619
59 1 30 50 100.20796 1.9515957293416504 0.015373339548918397 295.52902 1 1.0 0.03700000047683716 2 1.0 0 6867619
60 1 30 51 100.20796 2.084341233501351 0.014706749219391978 295.22354 1 1.0 0.03700000047683716 2 1.0 0 6867619
61 1 30 52 91.51791 2.21133087251026 0.008852140106686333 294.3781 1 1.0 0.03700000047683716 2 1.0 0 6867619
62 1 31 52 13.876072 2.2811386363615744 0.07067635461960775 294.3781 1 1.0 0.03700000047683716 2 1.0 0 6867619
63 1 31 53 113.70954 2.3656451248064085 0.01482540962297887 293.5473 1 1.0 0.03700000047683716 2 1.0 0 6867619
64 1 31 54 105.60415 2.510907446566143 0.015025980422908258 293.09418 1 1.0 0.03700000047683716 2 1.0 0 6867619
65 1 31 55 100.83194 2.6476403926289684 0.015460717996799413 292.75327 1 1.0 0.03700000047683716 2 1.0 0 6867619
66 1 31 56 101.97807 2.7819716724450547 0.015287120325868955 292.1855 1 1.0 0.03700000047683716 2 1.0 0 6867619
67 1 31 57 100.83417 2.9163044076204345 0.015359262638643246 291.8557 1 1.0 0.03700000047683716 2 1.0 0 6867619
68 1 31 58 100.649574 3.0497571355432718 0.015354933278215488 291.0608 1 1.0 0.03700000047683716 2 1.0 0 6867619
69 1 31 59 100.408455 3.1829280088830183 0.01576233457791321 290.50815 1 1.0 0.03700000047683716 2 1.0 0 6867619
70 1 31 60 105.48992 3.319304715332218 0.015266293790491384 289.5599 1 1.0 0.03700000047683716 2 1.0 0 6867619
71 1 31 61 104.020744 3.4580741941658104 0.015076299471885315 289.037 1 1.0 0.03700000047683716 2 1.0 0 6867619
72 1 31 62 100.00111 3.59320802377873 0.014350645715982647 288.54178 1 1.0 0.03700000047683716 2 1.0 0 6867619
73 1 31 63 86.69582 3.716866992192158 0.009606939969420253 287.67123 1 1.0 0.03700000047683716 2 1.0 0 6867619
74 1 30 63 21.658125 3.788635286717824 0.04624149910098304 287.52075 1 1.0 0.03700000047683716 2 1.0 0 6867619
75 1 30 64 108.63271 3.8749335650123076 0.015373355925762288 287.0679 1 1.0 0.03700000047683716 2 1.0 0 6867619
76 1 30 65 108.63271 4.018839491910902 0.00889312846533482 286.42258 1 1.0 0.03700000047683716 2 1.0 0 6867619
77 1 30 66 17.050379 4.1020857200612335 0.04897374657028845 286.42258 1 1.0 0.03700000047683716 2 1.0 0 6867619
78 1 29 66 91.58234 4.174038360097354 0.01671902734742936 285.17096 1 1.0 0.03700000047683716 2 1.0 0 6867619
79 1 29 67 107.61515 4.3059770292356365 0.014918283184553119 284.4532 1 1.0 0.03700000047683716 2 1.0 0 6867619
80 1 29 68 101.24448 4.444315074892128 0.001 283.93237 1 1.0 0.03700000047683716 1 1.0 0 6867619
