#k i j head boundname
1 1 68 297.859 east
1 2 68 297.576 east
1 3 68 297.255 east
1 4 68 296.973 east
1 5 68 296.73 east
1 6 68 296.439 east
1 7 68 296.099 east
1 8 68 295.793 east
1 9 68 295.451 east
1 10 68 295.109 east
1 11 68 294.771 east
1 12 68 294.448 east
1 13 68 294.108 east
1 14 68 293.713 east
1 15 68 293.283 east
1 16 68 292.845 east
1 17 68 292.405 east
1 18 68 291.956 east
1 19 68 291.523 east
1 20 68 291.075 east
1 21 68 290.607 east
1 22 68 290.134 east
1 23 68 289.655 east
1 24 68 289.208 east
1 25 68 288.725 east
1 26 68 288.206 east
1 27 68 287.649 east
1 28 68 287.043 east
1 29 68 286.436 east
1 30 68 286.157 east
1 31 68 286.269 east
1 32 68 286.308 east
1 33 68 286.332 east
1 34 68 286.34 east
1 35 68 286.332 east
1 36 68 286.377 east
1 37 68 286.361 east
1 38 68 286.344 east
1 39 68 286.326 east
1 40 68 286.362 east
1 41 68 286.323 east
1 42 68 286.268 east
1 43 68 286.198 east
1 44 68 286.111 east
1 45 68 286.022 east
1 46 68 285.913 east
1 47 68 285.799 east
1 48 68 285.661 east
1 49 68 285.538 east
1 50 68 285.402 east
1 51 68 285.265 east
1 52 68 285.121 east
1 53 68 284.956 east
1 54 68 284.817 east
1 55 68 284.675 east
1 56 68 284.507 east
1 57 68 284.311 east
1 58 68 284.13 east
1 59 68 283.959 east
1 60 68 283.802 east
1 61 68 283.732 east
1 62 68 283.59 east
1 63 68 283.445 east
1 1 1 314.716 west
1 2 1 314.672 west
1 3 1 314.593 west
1 4 1 314.497 west
1 5 1 314.384 west
1 6 1 314.272 west
1 7 1 314.133 west
1 8 1 314.006 west
1 9 1 313.86 west
1 10 1 313.763 west
1 11 1 313.679 west
1 12 1 313.587 west
1 13 1 313.485 west
1 14 1 313.35 west
1 15 1 313.16 west
1 16 1 312.968 west
1 17 1 312.7 west
1 18 1 312.623 west
1 64 43 291.174 south
1 64 44 290.754 south
1 64 45 290.32 south
1 64 46 289.931 south
1 64 47 289.559 south
1 64 48 289.202 south
1 64 49 288.845 south
1 64 50 288.475 south
1 64 51 288.092 south
1 64 52 287.735 south
1 64 53 287.387 south
1 64 54 287.066 south
1 64 55 286.772 south
1 64 56 286.466 south
1 64 57 286.173 south
1 64 58 285.895 south
1 64 59 285.631 south
1 64 60 285.361 south
1 64 61 285.107 south
1 64 62 284.822 south
1 64 63 284.585 south
1 64 64 284.336 south
1 64 65 284.133 south
1 1 2 314.644 north
1 1 3 314.55 north
1 1 4 314.452 north
1 1 5 314.338 north
1 1 6 314.231 north
1 1 7 314.131 north
1 1 8 314.049 north
1 1 9 313.998 north
1 1 10 313.951 north
1 1 11 313.897 north
1 1 46 305.571 north
1 1 47 305.114 north
1 1 48 304.733 north
1 1 49 304.392 north
1 1 50 304.039 north
1 1 51 303.669 north
1 1 52 303.304 north
1 1 53 302.936 north
1 1 54 302.589 north
