#k i j head boundname
1 1 68 297.855 east
1 2 68 297.571 east
1 3 68 297.246 east
1 4 68 296.963 east
1 5 68 296.72 east
1 6 68 296.429 east
1 7 68 296.09 east
1 8 68 295.787 east
1 9 68 295.451 east
1 10 68 295.112 east
1 11 68 294.776 east
1 12 68 294.455 east
1 13 68 294.119 east
1 14 68 293.733 east
1 15 68 293.312 east
1 16 68 292.875 east
1 17 68 292.433 east
1 18 68 291.984 east
1 19 68 291.556 east
1 20 68 291.11 east
1 21 68 290.645 east
1 22 68 290.175 east
1 23 68 289.699 east
1 24 68 289.255 east
1 25 68 288.776 east
1 26 68 288.259 east
1 27 68 287.704 east
1 28 68 287.097 east
1 29 68 286.485 east
1 30 68 286.208 east
1 31 68 286.321 east
1 32 68 286.359 east
1 33 68 286.381 east
1 34 68 286.386 east
1 35 68 286.373 east
1 36 68 286.411 east
1 37 68 286.387 east
1 38 68 286.365 east
1 39 68 286.343 east
1 40 68 286.374 east
1 41 68 286.335 east
1 42 68 286.284 east
1 43 68 286.22 east
1 44 68 286.142 east
1 45 68 286.061 east
1 46 68 285.961 east
1 47 68 285.85 east
1 48 68 285.713 east
1 49 68 285.588 east
1 50 68 285.447 east
1 51 68 285.305 east
1 52 68 285.154 east
1 53 68 284.981 east
1 54 68 284.837 east
1 55 68 284.692 east
1 56 68 284.52 east
1 57 68 284.322 east
1 58 68 284.138 east
1 59 68 283.965 east
1 60 68 283.809 east
1 61 68 283.745 east
1 62 68 283.608 east
1 63 68 283.465 east
1 1 1 315.591 west
1 2 1 315.523 west
1 3 1 315.447 west
1 4 1 315.367 west
1 5 1 315.284 west
1 6 1 315.201 west
1 7 1 315.111 west
1 8 1 315.022 west
1 9 1 314.924 west
1 10 1 314.841 west
1 11 1 314.748 west
1 12 1 314.657 west
1 13 1 314.57 west
1 14 1 314.481 west
1 15 1 314.382 west
1 16 1 314.289 west
1 17 1 314.19 west
1 18 1 314.11 west
1 19 1 314.051 west
1 20 1 313.976 west
1 64 43 291.211 south
1 64 44 290.796 south
1 64 45 290.364 south
1 64 46 289.974 south
1 64 47 289.599 south
1 64 48 289.24 south
1 64 49 288.88 south
1 64 50 288.509 south
1 64 51 288.126 south
1 64 52 287.769 south
1 64 53 287.422 south
1 64 54 287.103 south
1 64 55 286.808 south
1 64 56 286.502 south
1 64 57 286.208 south
1 64 58 285.928 south
1 64 59 285.663 south
1 64 60 285.393 south
1 64 61 285.138 south
1 64 62 284.854 south
1 64 63 284.616 south
1 64 64 284.367 south
1 64 65 284.165 south
1 64 66 283.908 south
1 1 2 315.527 north
1 1 3 315.453 north
1 1 4 315.376 north
1 1 5 315.283 north
1 1 6 315.185 north
1 1 7 315.083 north
1 1 8 314.975 north
1 1 9 314.859 north
1 1 10 314.73 north
1 1 11 314.56 north
1 1 46 305.601 north
1 1 47 305.144 north
1 1 48 304.763 north
1 1 49 304.421 north
1 1 50 304.067 north
1 1 51 303.695 north
1 1 52 303.328 north
1 1 53 302.958 north
1 1 54 302.609 north
1 1 55 302.283 north
1 1 56 301.948 north
1 1 57 301.611 north
1 1 58 301.267 north
1 1 59 300.917 north
1 1 60 300.588 north
1 1 61 300.255 north
1 1 62 299.935 north
1 1 63 299.627 north
1 1 64 299.279 north
1 1 65 298.916 north
1 1 66 298.565 north
1 1 67 298.224 north
2 1 68 297.857 east
2 2 68 297.563 east
2 3 68 297.254 east
2 4 68 296.967 east
2 5 68 296.703 east
2 6 68 296.409 east
2 7 68 296.085 east
2 8 68 295.781 east
2 9 68 295.452 east
2 10 68 295.132 east
2 11 68 294.791 east
2 12 68 294.447 east
2 13 68 294.101 east
2 14 68 293.721 east
2 15 68 293.308 east
2 16 68 292.876 east
2 17 68 292.441 east
2 18 68 291.999 east
2 19 68 291.567 east
2 20 68 291.121 east
2 21 68 290.661 east
2 22 68 290.195 east
2 23 68 289.722 east
2 24 68 289.271 east
2 25 68 288.79 east
2 26 68 288.283 east
2 27 68 287.749 east
2 28 68 287.149 east
2 29 68 286.588 east
2 30 68 286.33 east
2 31 68 286.376 east
2 32 68 286.378 east
2 33 68 286.387 east
2 34 68 286.385 east
2 35 68 286.372 east
2 36 68 286.404 east
2 37 68 286.383 east
2 38 68 286.362 east
2 39 68 286.341 east
2 40 68 286.366 east
2 41 68 286.326 east
2 42 68 286.273 east
2 43 68 286.209 east
2 44 68 286.135 east
2 45 68 286.053 east
2 46 68 285.958 east
2 47 68 285.848 east
2 48 68 285.715 east
2 49 68 285.588 east
2 50 68 285.448 east
2 51 68 285.304 east
2 52 68 285.161 east
2 53 68 284.992 east
2 54 68 284.833 east
2 55 68 284.683 east
2 56 68 284.517 east
2 57 68 284.325 east
2 58 68 284.149 east
2 59 68 283.978 east
2 60 68 283.851 east
2 61 68 283.773 east
2 62 68 283.59 east
2 63 68 283.436 east
2 64 68 283.211 east
2 64 31 295.789 south
2 64 32 295.429 south
2 64 33 295.06 south
2 64 34 294.684 south
2 64 35 294.305 south
2 64 36 293.901 south
2 64 37 293.486 south
2 64 38 293.094 south
2 64 39 292.717 south
2 64 40 292.349 south
2 64 41 291.963 south
2 64 42 291.593 south
2 64 43 291.193 south
2 64 44 290.792 south
2 64 45 290.368 south
2 64 46 289.978 south
2 64 47 289.597 south
2 64 48 289.227 south
2 64 49 288.86 south
2 64 50 288.497 south
2 64 51 288.128 south
2 64 52 287.779 south
2 64 53 287.444 south
2 64 54 287.125 south
2 64 55 286.821 south
2 64 56 286.509 south
2 64 57 286.212 south
2 64 58 285.928 south
2 64 59 285.658 south
2 64 60 285.384 south
2 64 61 285.126 south
2 64 62 284.841 south
2 64 63 284.599 south
2 64 64 284.343 south
2 64 65 284.124 south
2 64 66 283.862 south
2 64 67 283.558 south
2 1 12 314.379 north
2 1 13 314.181 north
2 1 14 313.997 north
2 1 15 313.828 north
2 1 16 313.658 north
2 1 17 313.502 north
2 1 18 313.341 north
2 1 19 313.176 north
2 1 20 313.012 north
2 1 21 312.837 north
2 1 22 312.658 north
2 1 23 312.474 north
2 1 24 312.286 north
2 1 25 312.093 north
2 1 28 311.372 north
2 1 29 311.141 north
2 1 30 310.898 north
2 1 31 310.647 north
2 1 32 310.387 north
2 1 33 310.117 north
2 1 34 309.831 north
2 1 35 309.531 north
2 1 36 309.211 north
2 1 37 308.869 north
2 1 38 308.526 north
2 1 39 308.183 north
2 1 40 307.837 north
2 1 41 307.484 north
2 1 42 307.143 north
2 1 43 306.766 north
2 1 44 306.384 north
2 1 45 305.995 north
2 1 46 305.596 north
2 1 47 305.168 north
2 1 48 304.792 north
2 1 49 304.436 north
2 1 50 304.082 north
2 1 51 303.713 north
2 1 52 303.345 north
2 1 53 302.978 north
2 1 54 302.626 north
2 1 55 302.29 north
2 1 56 301.949 north
2 1 57 301.61 north
2 1 58 301.268 north
2 1 59 300.923 north
2 1 60 300.592 north
2 1 61 300.258 north
2 1 62 299.932 north
2 1 63 299.611 north
2 1 64 299.268 north
2 1 65 298.913 north
2 1 66 298.566 north
2 1 67 298.222 north
3 1 68 297.857 east
3 2 68 297.563 east
3 3 68 297.26 east
3 4 68 296.973 east
3 5 68 296.693 east
3 6 68 296.394 east
3 7 68 296.081 east
3 8 68 295.777 east
3 9 68 295.452 east
3 10 68 295.131 east
3 11 68 294.789 east
3 12 68 294.441 east
3 13 68 294.088 east
3 14 68 293.708 east
3 15 68 293.302 east
3 16 68 292.877 east
3 17 68 292.447 east
3 18 68 292.011 east
3 19 68 291.577 east
3 20 68 291.131 east
3 21 68 290.674 east
3 22 68 290.211 east
3 23 68 289.741 east
3 24 68 289.283 east
3 25 68 288.804 east
3 26 68 288.304 east
3 27 68 287.783 east
3 28 68 287.222 east
3 29 68 286.715 east
3 30 68 286.452 east
3 31 68 286.432 east
3 32 68 286.397 east
3 33 68 286.395 east
3 34 68 286.387 east
3 35 68 286.374 east
3 36 68 286.4 east
3 37 68 286.379 east
3 38 68 286.36 east
3 39 68 286.338 east
3 40 68 286.357 east
3 41 68 286.315 east
3 42 68 286.262 east
3 43 68 286.197 east
3 44 68 286.129 east
3 45 68 286.046 east
3 46 68 285.955 east
3 47 68 285.846 east
3 48 68 285.717 east
3 49 68 285.588 east
3 50 68 285.448 east
3 51 68 285.303 east
3 52 68 285.158 east
3 53 68 284.994 east
3 54 68 284.835 east
3 55 68 284.681 east
3 56 68 284.516 east
3 57 68 284.327 east
3 58 68 284.154 east
3 59 68 283.985 east
3 60 68 283.855 east
3 61 68 283.763 east
3 62 68 283.577 east
3 63 68 283.416 east
3 64 68 283.191 east
3 1 1 315.579 west
3 2 1 315.507 west
3 3 1 315.43 west
3 4 1 315.355 west
3 5 1 315.271 west
3 6 1 315.186 west
3 7 1 315.093 west
3 8 1 315.003 west
3 9 1 314.905 west
3 10 1 314.815 west
3 11 1 314.726 west
3 12 1 314.642 west
3 13 1 314.553 west
3 14 1 314.46 west
