#k i j head boundname
1 1 68 297.798 east
1 2 68 297.516 east
1 3 68 297.193 east
1 4 68 296.913 east
1 5 68 296.673 east
1 6 68 296.385 east
1 7 68 296.049 east
1 8 68 295.749 east
1 9 68 295.419 east
1 10 68 295.085 east
1 11 68 294.752 east
1 12 68 294.436 east
1 13 68 294.104 east
1 14 68 293.726 east
1 15 68 293.311 east
1 16 68 292.874 east
1 17 68 292.427 east
1 18 68 291.974 east
1 19 68 291.545 east
1 20 68 291.097 east
1 21 68 290.633 east
1 22 68 290.166 east
1 23 68 289.694 east
1 24 68 289.257 east
1 25 68 288.787 east
1 26 68 288.279 east
1 27 68 287.731 east
1 28 68 287.131 east
1 29 68 286.521 east
1 30 68 286.251 east
1 31 68 286.372 east
1 32 68 286.413 east
1 33 68 286.436 east
1 34 68 286.44 east
1 35 68 286.422 east
1 36 68 286.447 east
1 37 68 286.413 east
1 38 68 286.382 east
1 39 68 286.354 east
1 40 68 286.379 east
1 41 68 286.338 east
1 42 68 286.286 east
1 43 68 286.223 east
1 44 68 286.151 east
1 45 68 286.074 east
1 46 68 285.977 east
1 47 68 285.865 east
1 48 68 285.726 east
1 49 68 285.596 east
1 50 68 285.451 east
1 51 68 285.304 east
1 52 68 285.148 east
1 53 68 284.969 east
1 54 68 284.819 east
1 55 68 284.664 east
1 56 68 284.486 east
1 57 68 284.285 east
1 58 68 284.095 east
1 59 68 283.926 east
1 60 68 283.772 east
1 61 68 283.712 east
1 62 68 283.578 east
1 63 68 283.429 east
1 1 1 315.52 west
1 2 1 315.452 west
1 3 1 315.379 west
1 4 1 315.303 west
1 5 1 315.226 west
1 6 1 315.15 west
1 7 1 315.068 west
1 8 1 314.986 west
1 9 1 314.896 west
1 10 1 314.816 west
1 11 1 314.724 west
1 12 1 314.636 west
1 13 1 314.55 west
1 14 1 314.467 west
1 15 1 314.378 west
1 16 1 314.295 west
1 17 1 314.215 west
1 18 1 314.138 west
1 19 1 314.07 west
1 20 1 313.989 west
1 64 43 291.199 south
1 64 44 290.788 south
1 64 45 290.359 south
1 64 46 289.967 south
1 64 47 289.587 south
1 64 48 289.224 south
1 64 49 288.86 south
1 64 50 288.487 south
1 64 51 288.105 south
1 64 52 287.746 south
1 64 53 287.403 south
1 64 54 287.087 south
1 64 55 286.795 south
1 64 56 286.487 south
1 64 57 286.193 south
1 64 58 285.912 south
1 64 59 285.645 south
1 64 60 285.371 south
1 64 61 285.111 south
1 64 62 284.826 south
1 64 63 284.587 south
1 64 64 284.335 south
1 64 65 284.128 south
1 1 2 315.461 north
1 1 3 315.392 north
1 1 4 315.324 north
1 1 5 315.238 north
1 1 6 315.146 north
1 1 7 315.048 north
1 1 8 314.944 north
1 1 9 314.829 north
1 1 10 314.699 north
1 1 11 314.53 north
1 1 46 305.56 north
1 1 47 305.1 north
1 1 48 304.716 north
1 1 49 304.373 north
1 1 50 304.018 north
1 1 51 303.645 north
1 1 52 303.277 north
1 1 53 302.906 north
1 1 54 302.556 north
1 1 55 302.228 north
1 1 56 301.892 north
1 1 57 301.553 north
1 1 58 301.207 north
1 1 59 300.855 north
1 1 60 300.524 north
1 1 61 300.188 north
1 1 62 299.865 north
1 1 63 299.554 north
1 1 64 299.207 north
1 1 65 298.849 north
1 1 66 298.502 north
1 1 67 298.164 north
2 1 68 297.8 east
2 2 68 297.508 east
2 3 68 297.201 east
2 4 68 296.917 east
2 5 68 296.656 east
2 6 68 296.365 east
2 7 68 296.044 east
2 8 68 295.744 east
2 9 68 295.42 east
2 10 68 295.105 east
2 11 68 294.768 east
2 12 68 294.428 east
2 13 68 294.086 east
2 14 68 293.712 east
2 15 68 293.305 east
2 16 68 292.873 east
2 17 68 292.435 east
2 18 68 291.99 east
2 19 68 291.557 east
2 20 68 291.109 east
2 21 68 290.65 east
2 22 68 290.187 east
2 23 68 289.718 east
2 24 68 289.273 east
2 25 68 288.802 east
2 26 68 288.303 east
2 27 68 287.775 east
2 28 68 287.184 east
2 29 68 286.626 east
2 30 68 286.373 east
2 31 68 286.425 east
2 32 68 286.43 east
2 33 68 286.44 east
2 34 68 286.436 east
2 35 68 286.419 east
2 36 68 286.441 east
2 37 68 286.41 east
2 38 68 286.381 east
2 39 68 286.353 east
2 40 68 286.372 east
2 41 68 286.329 east
2 42 68 286.276 east
2 43 68 286.213 east
2 44 68 286.145 east
2 45 68 286.066 east
2 46 68 285.973 east
2 47 68 285.863 east
2 48 68 285.727 east
2 49 68 285.596 east
2 50 68 285.451 east
2 51 68 285.301 east
2 52 68 285.153 east
2 53 68 284.979 east
2 54 68 284.813 east
2 55 68 284.654 east
2 56 68 284.483 east
2 57 68 284.288 east
2 58 68 284.105 east
2 59 68 283.937 east
2 60 68 283.813 east
2 61 68 283.738 east
2 62 68 283.556 east
2 63 68 283.391 east
2 64 68 283.16 east
2 64 31 295.785 south
2 64 32 295.41 south
2 64 33 295.041 south
2 64 34 294.665 south
2 64 35 294.284 south
2 64 36 293.88 south
2 64 37 293.467 south
2 64 38 293.073 south
2 64 39 292.693 south
2 64 40 292.325 south
2 64 41 291.937 south
2 64 42 291.574 south
2 64 43 291.183 south
2 64 44 290.784 south
2 64 45 290.362 south
2 64 46 289.969 south
2 64 47 289.583 south
2 64 48 289.209 south
2 64 49 288.838 south
2 64 50 288.474 south
2 64 51 288.105 south
2 64 52 287.755 south
2 64 53 287.424 south
2 64 54 287.107 south
2 64 55 286.806 south
2 64 56 286.493 south
2 64 57 286.196 south
2 64 58 285.911 south
2 64 59 285.639 south
2 64 60 285.361 south
2 64 61 285.099 south
2 64 62 284.813 south
2 64 63 284.568 south
2 64 64 284.309 south
2 64 65 284.081 south
2 64 66 283.812 south
2 64 67 283.506 south
2 1 12 314.349 north
2 1 13 314.143 north
2 1 14 313.955 north
2 1 15 313.786 north
2 1 16 313.613 north
2 1 17 313.457 north
2 1 18 313.295 north
2 1 19 313.128 north
2 1 20 312.963 north
2 1 21 312.788 north
2 1 22 312.609 north
2 1 23 312.426 north
2 1 24 312.239 north
2 1 25 312.054 north
2 1 28 311.335 north
2 1 29 311.095 north
2 1 30 310.852 north
2 1 31 310.6 north
2 1 32 310.339 north
2 1 33 310.069 north
2 1 34 309.782 north
2 1 35 309.482 north
2 1 36 309.162 north
2 1 37 308.82 north
2 1 38 308.477 north
2 1 39 308.132 north
2 1 40 307.786 north
2 1 41 307.435 north
2 1 42 307.094 north
2 1 43 306.717 north
2 1 44 306.333 north
2 1 45 305.944 north
2 1 46 305.549 north
2 1 47 305.122 north
2 1 48 304.745 north
2 1 49 304.389 north
2 1 50 304.033 north
2 1 51 303.663 north
2 1 52 303.295 north
2 1 53 302.927 north
2 1 54 302.573 north
2 1 55 302.236 north
2 1 56 301.893 north
2 1 57 301.552 north
2 1 58 301.208 north
2 1 59 300.861 north
2 1 60 300.528 north
2 1 61 300.193 north
2 1 62 299.863 north
2 1 63 299.541 north
2 1 64 299.198 north
2 1 65 298.848 north
2 1 66 298.503 north
2 1 67 298.163 north
3 1 68 297.799 east
3 2 68 297.508 east
3 3 68 297.207 east
3 4 68 296.923 east
3 5 68 296.646 east
3 6 68 296.351 east
3 7 68 296.041 east
3 8 68 295.74 east
3 9 68 295.42 east
3 10 68 295.103 east
3 11 68 294.766 east
3 12 68 294.422 east
3 13 68 294.073 east
3 14 68 293.699 east
3 15 68 293.297 east
3 16 68 292.872 east
3 17 68 292.44 east
3 18 68 292.002 east
3 19 68 291.567 east
3 20 68 291.12 east
3 21 68 290.664 east
3 22 68 290.203 east
3 23 68 289.737 east
3 24 68 289.286 east
3 25 68 288.815 east
3 26 68 288.323 east
3 27 68 287.81 east
3 28 68 287.256 east
3 29 68 286.753 east
3 30 68 286.495 east
3 31 68 286.48 east
3 32 68 286.448 east
3 33 68 286.446 east
3 34 68 286.437 east
3 35 68 286.42 east
3 36 68 286.436 east
3 37 68 286.406 east
3 38 68 286.38 east
3 39 68 286.351 east
3 40 68 286.365 east
3 41 68 286.32 east
3 42 68 286.266 east
3 43 68 286.203 east
3 44 68 286.139 east
3 45 68 286.058 east
3 46 68 285.969 east
3 47 68 285.86 east
3 48 68 285.728 east
3 49 68 285.595 east
3 50 68 285.45 east
3 51 68 285.299 east
3 52 68 285.149 east
3 53 68 284.979 east
3 54 68 284.813 east
3 55 68 284.652 east
3 56 68 284.482 east
3 57 68 284.29 east
3 58 68 284.111 east
3 59 68 283.945 east
3 60 68 283.817 east
3 61 68 283.727 east
3 62 68 283.542 east
3 63 68 283.371 east
3 64 68 283.14 east
3 1 1 315.513 west
3 2 1 315.442 west
3 3 1 315.367 west
3 4 1 315.297 west
3 5 1 315.22 west
3 6 1 315.142 west
3 7 1 315.06 west
3 8 1 314.978 west
3 9 1 314.89 west
3 10 1 314.805 west
3 11 1 314.715 west
3 12 1 314.629 west
3 13 1 314.541 west
3 14 1 314.453 west
3 15 1 314.365 west
3 16 1 314.28 west
3 17 1 314.197 west
3 18 1 314.116 west
3 19 1 314.037 west
3 20 1 313.951 west
3 21 1 313.856 west
3 22 1 313.753 west
3 23 1 313.637 west
3 24 1 313.515 west
3 25 1 313.377 west
3 26 1 313.259 west
3 27 1 313.136 west
3 28 1 313.022 west
3 29 1 312.904 west
3 30 1 312.783 west
3 31 1 312.659 west
3 32 1 312.532 west
3 33 1 312.407 west
3 34 1 312.279 west
3 35 1 312.147 west
3 36 1 312.01 west
3 37 1 311.863 west
3 38 1 311.7 west
3 39 1 311.543 west
3 40 1 311.402 west
3 41 1 311.277 west
3 42 1 311.132 west
3 43 1 311.047 west
3 44 1 310.952 west
3 45 1 310.854 west
3 64 27 298.021 south
3 64 28 297.249 south
3 64 29 296.591 south
3 64 30 296.186 south
3 64 31 295.781 south
3 64 32 295.408 south
3 64 33 295.038 south
3 64 34 294.662 south
3 64 35 294.283 south
3 64 36 293.878 south
3 64 37 293.463 south
3 64 38 293.068 south
3 64 39 292.69 south
3 64 40 292.322 south
3 64 41 291.933 south
3 64 42 291.57 south
3 64 43 291.177 south
3 64 44 290.782 south
3 64 45 290.364 south
3 64 46 289.971 south
3 64 47 289.581 south
3 64 48 289.203 south
3 64 49 288.825 south
3 64 50 288.463 south
3 64 51 288.105 south
3 64 52 287.763 south
3 64 53 287.441 south
3 64 54 287.118 south
3 64 55 286.809 south
3 64 56 286.499 south
3 64 57 286.199 south
3 64 58 285.911 south
3 64 59 285.634 south
3 64 60 285.354 south
3 64 61 285.088 south
3 64 62 284.803 south
3 64 63 284.554 south
3 64 64 284.289 south
3 64 65 284.053 south
3 64 66 283.781 south
3 64 67 283.481 south
3 1 2 315.451 north
3 1 3 315.382 north
3 1 4 315.31 north
3 1 5 315.224 north
3 1 6 315.13 north
3 1 7 315.029 north
3 1 8 314.919 north
3 1 9 314.8 north
3 1 10 314.663 north
3 1 11 314.489 north
3 1 12 314.3 north
3 1 13 314.087 north
3 1 14 313.904 north
3 1 15 313.75 north
3 1 16 313.597 north
3 1 17 313.443 north
3 1 18 313.282 north
3 1 19 313.116 north
3 1 20 312.951 north
3 1 21 312.775 north
3 1 22 312.596 north
3 1 23 312.414 north
3 1 24 312.226 north
3 1 25 312.038 north
3 1 26 311.825 north
3 1 27 311.564 north
3 1 28 311.317 north
3 1 29 311.082 north
3 1 30 310.839 north
3 1 31 310.586 north
3 1 32 310.327 north
3 1 33 310.057 north
3 1 34 309.772 north
