#k i j head boundname
1 1 68 297.337 east
1 2 68 297.046 east
1 3 68 296.738 east
1 4 68 296.451 east
1 5 68 296.207 east
1 6 68 295.913 east
1 7 68 295.567 east
1 8 68 295.265 east
1 9 68 294.919 east
1 10 68 294.584 east
1 11 68 294.264 east
1 12 68 293.946 east
1 13 68 293.61 east
1 14 68 293.223 east
1 15 68 292.805 east
1 16 68 292.39 east
1 17 68 291.981 east
1 18 68 291.557 east
1 19 68 291.14 east
1 20 68 290.71 east
1 21 68 290.26 east
1 22 68 289.805 east
1 23 68 289.345 east
1 24 68 288.915 east
1 25 68 288.451 east
1 26 68 287.951 east
1 27 68 287.416 east
1 28 68 286.832 east
1 29 68 286.25 east
1 30 68 285.983 east
1 31 68 286.09 east
1 32 68 286.132 east
1 33 68 286.156 east
1 34 68 286.167 east
1 35 68 286.164 east
1 36 68 286.227 east
1 37 68 286.221 east
1 38 68 286.214 east
1 39 68 286.205 east
1 40 68 286.246 east
1 41 68 286.208 east
1 42 68 286.15 east
1 43 68 286.074 east
1 44 68 285.974 east
1 45 68 285.874 east
1 46 68 285.748 east
1 47 68 285.618 east
1 48 68 285.458 east
1 49 68 285.32 east
1 50 68 285.166 east
1 51 68 285.014 east
1 52 68 284.855 east
1 53 68 284.676 east
1 54 68 284.529 east
1 55 68 284.389 east
1 56 68 284.227 east
1 57 68 284.045 east
1 58 68 283.879 east
1 59 68 283.739 east
1 60 68 283.589 east
1 61 68 283.501 east
1 62 68 283.35 east
1 63 68 283.176 east
1 1 1 314.45 west
1 2 1 314.387 west
1 3 1 314.32 west
1 4 1 314.25 west
1 5 1 314.177 west
1 6 1 314.104 west
1 7 1 314.024 west
1 8 1 313.944 west
1 9 1 313.855 west
1 10 1 313.775 west
1 11 1 313.681 west
1 12 1 313.59 west
1 13 1 313.499 west
1 14 1 313.41 west
1 15 1 313.313 west
1 16 1 313.22 west
1 17 1 313.124 west
1 18 1 313.028 west
1 64 44 290.504 south
1 64 45 290.055 south
1 64 46 289.643 south
1 64 47 289.254 south
1 64 48 288.883 south
1 64 49 288.513 south
1 64 50 288.137 south
1 64 51 287.754 south
1 64 52 287.388 south
1 64 53 287.028 south
1 64 54 286.704 south
1 64 55 286.413 south
1 64 56 286.107 south
1 64 57 285.824 south
1 64 58 285.556 south
1 64 59 285.305 south
1 64 60 285.043 south
1 64 61 284.799 south
