#k i j head boundname
2 1 40 307.756 north
2 1 41 307.406 north
2 1 42 307.064 north
2 1 43 306.684 north
2 1 44 306.296 north
2 1 45 305.901 north
2 1 46 305.494 north
2 1 47 305.055 north
2 1 48 304.672 north
2 1 49 304.31 north
2 1 50 303.952 north
2 1 51 303.582 north
2 1 52 303.213 north
2 1 53 302.844 north
2 1 54 302.49 north
2 1 55 302.153 north
2 1 56 301.81 north
2 1 57 301.469 north
2 1 58 301.125 north
2 1 59 300.778 north
2 1 60 300.445 north
2 1 61 300.109 north
2 1 62 299.78 north
2 1 63 299.457 north
2 1 64 299.113 north
2 1 65 298.76 north
2 1 66 298.414 north
2 1 67 298.07 north
3 1 68 297.706 east
3 2 68 297.412 east
3 3 68 297.11 east
3 4 68 296.823 east
3 5 68 296.544 east
3 6 68 296.245 east
3 7 68 295.931 east
3 8 68 295.627 east
3 9 68 295.302 east
3 10 68 294.981 east
3 11 68 294.642 east
3 12 68 294.295 east
3 13 68 293.942 east
3 14 68 293.564 east
3 15 68 293.16 east
3 16 68 292.739 east
3 17 68 292.314 east
3 18 68 291.883 east
3 19 68 291.454 east
3 20 68 291.014 east
3 21 68 290.565 east
3 22 68 290.109 east
3 23 68 289.646 east
3 24 68 289.197 east
3 25 68 288.726 east
3 26 68 288.234 east
3 27 68 287.721 east
3 28 68 287.166 east
3 29 68 286.667 east
3 30 68 286.408 east
3 31 68 286.389 east
3 32 68 286.357 east
3 33 68 286.355 east
3 34 68 286.348 east
3 35 68 286.334 east
3 36 68 286.363 east
3 37 68 286.343 east
3 38 68 286.325 east
3 39 68 286.304 east
3 40 68 286.323 east
3 41 68 286.279 east
3 42 68 286.222 east
3 43 68 286.152 east
3 44 68 286.077 east
3 45 68 285.987 east
3 46 68 285.886 east
3 47 68 285.768 east
3 48 68 285.627 east
3 49 68 285.489 east
3 50 68 285.339 east
3 51 68 285.184 east
3 52 68 285.031 east
3 53 68 284.859 east
3 54 68 284.695 east
3 55 68 284.541 east
3 56 68 284.378 east
3 57 68 284.197 east
3 58 68 284.027 east
3 59 68 283.874 east
3 60 68 283.751 east
3 61 68 283.655 east
3 62 68 283.469 east
3 63 68 283.304 east
3 64 68 283.071 east
3 1 1 315.432 west
3 2 1 315.361 west
3 3 1 315.285 west
3 4 1 315.213 west
3 5 1 315.133 west
3 6 1 315.054 west
3 7 1 314.97 west
3 8 1 314.889 west
3 9 1 314.802 west
3 10 1 314.72 west
3 11 1 314.632 west
3 12 1 314.55 west
3 13 1 314.467 west
3 14 1 314.382 west
3 15 1 314.297 west
3 16 1 314.215 west
3 17 1 314.131 west
3 18 1 314.05 west
3 19 1 313.968 west
3 20 1 313.877 west
3 21 1 313.774 west
3 22 1 313.666 west
3 23 1 313.548 west
3 24 1 313.427 west
3 25 1 313.291 west
3 26 1 313.172 west
3 27 1 313.052 west
3 28 1 312.944 west
3 29 1 312.835 west
3 30 1 312.721 west
3 31 1 312.602 west
3 32 1 312.479 west
3 33 1 312.351 west
3 34 1 312.223 west
3 35 1 312.094 west
3 36 1 311.954 west
3 37 1 311.798 west
3 38 1 311.63 west
3 39 1 311.473 west
3 40 1 311.324 west
3 41 1 311.184 west
3 42 1 311.026 west
3 43 1 310.931 west
3 44 1 310.833 west
3 45 1 310.765 west
3 64 28 297.112 south
3 64 29 296.457 south
3 64 30 296.067 south
3 64 31 295.699 south
3 64 32 295.342 south
3 64 33 294.977 south
3 64 34 294.604 south
3 64 35 294.225 south
3 64 36 293.827 south
3 64 37 293.419 south
3 64 38 293.028 south
3 64 39 292.652 south
3 64 40 292.278 south
3 64 41 291.883 south
3 64 42 291.507 south
3 64 43 291.1 south
3 64 44 290.693 south
3 64 45 290.267 south
3 64 46 289.865 south
3 64 47 289.469 south
3 64 48 289.087 south
3 64 49 288.708 south
3 64 50 288.345 south
3 64 51 287.989 south
3 64 52 287.647 south
3 64 53 287.324 south
3 64 54 287.0 south
3 64 55 286.688 south
3 64 56 286.375 south
3 64 57 286.074 south
3 64 58 285.786 south
3 64 59 285.511 south
3 64 60 285.232 south
3 64 61 284.97 south
3 64 62 284.686 south
3 64 63 284.442 south
3 64 64 284.186 south
3 64 65 283.966 south
3 64 66 283.705 south
3 64 67 283.409 south
3 1 2 315.368 north
3 1 3 315.298 north
3 1 4 315.228 north
3 1 5 315.142 north
3 1 6 315.05 north
3 1 7 314.953 north
3 1 8 314.847 north
3 1 9 314.728 north
3 1 10 314.591 north
3 1 11 314.422 north
3 1 12 314.238 north
3 1 13 314.035 north
3 1 14 313.86 north
3 1 15 313.711 north
