#k i j head boundname
1 1 68 297.974 east
1 2 68 297.693 east
1 3 68 297.37 east
1 4 68 297.09 east
1 5 68 296.849 east
1 6 68 296.56 east
1 7 68 296.224 east
1 8 68 295.92 east
1 9 68 295.583 east
1 10 68 295.242 east
1 11 68 294.905 east
1 12 68 294.583 east
1 13 68 294.246 east
1 14 68 293.853 east
1 15 68 293.423 east
1 16 68 292.982 east
1 17 68 292.537 east
1 18 68 292.082 east
1 19 68 291.648 east
1 20 68 291.194 east
1 21 68 290.723 east
1 22 68 290.246 east
1 23 68 289.764 east
1 24 68 289.316 east
1 25 68 288.834 east
1 26 68 288.314 east
1 27 68 287.756 east
1 28 68 287.147 east
1 29 68 286.531 east
1 30 68 286.253 east
1 31 68 286.37 east
1 32 68 286.41 east
1 33 68 286.433 east
1 34 68 286.437 east
1 35 68 286.422 east
1 36 68 286.452 east
1 37 68 286.424 east
1 38 68 286.397 east
1 39 68 286.37 east
1 40 68 286.4 east
1 41 68 286.36 east
1 42 68 286.308 east
1 43 68 286.245 east
1 44 68 286.168 east
1 45 68 286.089 east
1 46 68 285.992 east
1 47 68 285.885 east
1 48 68 285.756 east
1 49 68 285.636 east
1 50 68 285.502 east
1 51 68 285.367 east
1 52 68 285.223 east
1 53 68 285.056 east
1 54 68 284.914 east
1 55 68 284.769 east
1 56 68 284.594 east
1 57 68 284.39 east
1 58 68 284.201 east
1 59 68 284.017 east
1 60 68 283.857 east
1 61 68 283.791 east
1 62 68 283.65 east
1 63 68 283.509 east
1 1 1 315.346 west
1 2 1 315.285 west
1 3 1 315.204 west
1 4 1 315.115 west
1 5 1 315.018 west
1 6 1 314.919 west
1 7 1 314.804 west
1 8 1 314.696 west
1 9 1 314.575 west
1 10 1 314.487 west
1 11 1 314.4 west
1 12 1 314.308 west
1 13 1 314.212 west
1 14 1 314.095 west
1 15 1 313.93 west
1 16 1 313.77 west
1 17 1 313.548 west
1 18 1 313.468 west
1 19 1 313.561 west
1 64 43 291.242 south
1 64 44 290.832 south
1 64 45 290.407 south
1 64 46 290.023 south
1 64 47 289.653 south
1 64 48 289.299 south
1 64 49 288.941 south
1 64 50 288.573 south
1 64 51 288.192 south
1 64 52 287.836 south
1 64 53 287.492 south
1 64 54 287.173 south
1 64 55 286.879 south
1 64 56 286.573 south
1 64 57 286.278 south
1 64 58 285.996 south
1 64 59 285.729 south
1 64 60 285.457 south
1 64 61 285.199 south
1 64 62 284.912 south
1 64 63 284.672 south
1 64 64 284.419 south
1 64 65 284.213 south
1 64 66 283.954 south
1 1 2 315.282 north
1 1 3 315.2 north
1 1 4 315.11 north
1 1 5 315.003 north
1 1 6 314.896 north
1 1 7 314.79 north
1 1 8 314.69 north
1 1 9 314.602 north
1 1 10 314.507 north
1 1 11 314.383 north
1 1 46 305.646 north
1 1 47 305.2 north
1 1 48 304.827 north
1 1 49 304.491 north
1 1 50 304.141 north
1 1 51 303.775 north
1 1 52 303.412 north
1 1 53 303.047 north
1 1 54 302.701 north
1 1 55 302.377 north
1 1 56 302.044 north
1 1 57 301.709 north
1 1 58 301.367 north
1 1 59 301.019 north
1 1 60 300.692 north
1 1 61 300.36 north
1 1 62 300.041 north
1 1 63 299.735 north
1 1 64 299.389 north
1 1 65 299.029 north
1 1 66 298.68 north
1 1 67 298.341 north
2 1 68 297.977 east
2 2 68 297.685 east
2 3 68 297.378 east
2 4 68 297.094 east
2 5 68 296.831 east
2 6 68 296.539 east
2 7 68 296.218 east
2 8 68 295.914 east
2 9 68 295.583 east
2 10 68 295.263 east
2 11 68 294.92 east
2 12 68 294.575 east
2 13 68 294.227 east
2 14 68 293.84 east
2 15 68 293.42 east
2 16 68 292.984 east
2 17 68 292.544 east
2 18 68 292.097 east
2 19 68 291.659 east
2 20 68 291.204 east
2 21 68 290.739 east
2 22 68 290.266 east
2 23 68 289.787 east
2 24 68 289.332 east
2 25 68 288.848 east
2 26 68 288.337 east
2 27 68 287.8 east
2 28 68 287.197 east
2 29 68 286.633 east
2 30 68 286.376 east
2 31 68 286.424 east
2 32 68 286.427 east
2 33 68 286.437 east
2 34 68 286.434 east
2 35 68 286.418 east
2 36 68 286.445 east
2 37 68 286.419 east
2 38 68 286.395 east
2 39 68 286.369 east
2 40 68 286.392 east
2 41 68 286.35 east
2 42 68 286.298 east
2 43 68 286.234 east
2 44 68 286.161 east
2 45 68 286.081 east
2 46 68 285.99 east
2 47 68 285.884 east
2 48 68 285.759 east
2 49 68 285.637 east
2 50 68 285.503 east
2 51 68 285.366 east
2 52 68 285.229 east
2 53 68 285.066 east
2 54 68 284.909 east
2 55 68 284.758 east
2 56 68 284.59 east
2 57 68 284.392 east
2 58 68 284.213 east
2 59 68 284.032 east
2 60 68 283.899 east
2 61 68 283.82 east
2 62 68 283.633 east
2 63 68 283.486 east
2 64 68 283.261 east
2 64 31 295.852 south
2 64 32 295.491 south
2 64 33 295.112 south
2 64 34 294.729 south
2 64 35 294.344 south
2 64 36 293.933 south
2 64 37 293.512 south
2 64 38 293.117 south
2 64 39 292.74 south
2 64 40 292.374 south
2 64 41 291.993 south
2 64 42 291.623 south
2 64 43 291.222 south
2 64 44 290.828 south
2 64 45 290.41 south
2 64 46 290.026 south
2 64 47 289.65 south
2 64 48 289.285 south
2 64 49 288.92 south
2 64 50 288.56 south
2 64 51 288.193 south
2 64 52 287.846 south
2 64 53 287.512 south
2 64 54 287.194 south
2 64 55 286.89 south
2 64 56 286.579 south
2 64 57 286.281 south
2 64 58 285.996 south
2 64 59 285.723 south
2 64 60 285.447 south
2 64 61 285.187 south
2 64 62 284.9 south
2 64 63 284.654 south
2 64 64 284.394 south
2 64 65 284.173 south
2 64 66 283.912 south
2 64 67 283.614 south
2 1 12 314.242 north
2 1 13 314.111 north
2 1 14 313.966 north
2 1 15 313.807 north
2 1 16 313.661 north
2 1 17 313.507 north
2 1 18 313.347 north
2 1 19 313.182 north
2 1 20 313.019 north
2 1 21 312.843 north
2 1 22 312.664 north
2 1 23 312.48 north
2 1 24 312.291 north
2 1 25 312.088 north
2 1 28 311.369 north
2 1 29 311.149 north
2 1 30 310.907 north
2 1 31 310.655 north
2 1 32 310.394 north
2 1 33 310.123 north
2 1 34 309.836 north
2 1 35 309.536 north
2 1 36 309.218 north
2 1 37 308.877 north
2 1 38 308.537 north
2 1 39 308.197 north
2 1 40 307.856 north
2 1 41 307.508 north
2 1 42 307.173 north
2 1 43 306.803 north
2 1 44 306.425 north
2 1 45 306.038 north
2 1 46 305.644 north
2 1 47 305.224 north
2 1 48 304.855 north
2 1 49 304.505 north
2 1 50 304.156 north
2 1 51 303.792 north
2 1 52 303.429 north
2 1 53 303.066 north
2 1 54 302.718 north
2 1 55 302.384 north
2 1 56 302.045 north
2 1 57 301.708 north
2 1 58 301.368 north
2 1 59 301.025 north
2 1 60 300.695 north
2 1 61 300.363 north
2 1 62 300.038 north
2 1 63 299.719 north
2 1 64 299.378 north
2 1 65 299.026 north
