#k i j q boundname
3 25 3 -99.1399 pleasant_2-13-2
3 18 3 -282.43 pleasant_2-9-2
4 24 45 0 pleasant_3-12-23
4 26 27 0 pleasant_3-13-14
4 25 55 -953.924 pleasant_3-13-28
4 34 3 0 pleasant_3-17-2
4 48 53 -163.53 pleasant_3-24-27
4 6 7 -622.265 pleasant_3-3-4
4 9 3 -311.331 pleasant_3-5-2
